Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,2,0,2,0.0%,1-4,20.0%,23-28,45.1%,0-1,0.0%,2,72.0%,20.0%,0.6%,2.4%,74.7%,63.0%,46.5%,58.8%,34.3%,47.7%,0.83,R32 (2x)
2019,27,11,16,40.7%,30-32,48.4%,289-307,48.5%,4-3,57.1%,27,64.2%,31.2%,3.4%,6.6%,59.9%,64.7%,45.4%,57.0%,41.5%,49.3%,0.97,QF (Blois)
2018,28,15,13,53.6%,30-31,49.2%,287-293,49.5%,4-1,80.0%,26,66.3%,30.3%,3.9%,6.5%,58.7%,66.0%,44.9%,57.3%,42.0%,49.6%,0.98,F (Lyon)
2016,1,0,1,0.0%,1-2,33.3%,16-18,47.1%,0-1,0.0%,1,68.8%,29.4%,2.5%,7.4%,69.4%,65.5%,32.4%,55.4%,42.0%,48.4%,0.94,R32 (Blois)
2015,5,2,3,40.0%,4-7,36.4%,47-56,45.6%,0-1,0.0%,4,67.5%,25.0%,8.6%,4.9%,65.4%,62.9%,53.6%,59.7%,39.5%,49.3%,0.98,R16 (2x)
2014,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,50.0%,11.1%,3.6%,7.1%,57.1%,62.5%,41.7%,53.6%,38.3%,45.7%,0.83,R32 (Mouilleron Le Captif)
Career,64,28,36,43.8%,66-78,45.8%,667-714,48.3%,8-7,53.3%,61,65.5%,29.7%,3.8%,6.3%,60.5%,65.0%,45.3%,57.2%,41.3%,49.3%,0.97,
