Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2025-09-29),1494,3,,,,,,,,,,,,
2024,1466,3,,,,,,,,,,,,
2023,1057,9,,,,,,,,,,,,
2022,1726,1,,,,,,,,,,,,
2021,679,37,,,,,,,,,,,,
2020,481,73,,,,,,,,,1230,15,,
2019,471,65,307,1433,331,1360,272,1408,,,1184,15,,
2018,269,151,276,1447,320,1329,239,1447,,,834,1,,
2017,450,82,,,,,,,,,666,66,,
2016,755,27,,,,,,,,,1252,16,,
2015,492,78,,,,,,,,,,,,
2014,393,106,,,,,,,,,821,44,,
2013,619,42,,,,,,,,,967,28,,
2012,1788,1,,,,,,,,,,,,
