Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2003 St Petersburg QF,W vs Grosjean,26.9%,38.7%,53.8%,34.9%,37.7%,54.7%,69.7%,51.9%,36.4%,54.8%,80.0%,13.5%,18.9%,37.5%,-1
2002 Roland Garros SF,L vs Costa,16.3%,25.2%,49.5%,23.8%,17.3%,28.4%,56.7%,28.8%,37.8%,81.8%,77.8%,15.8%,21.1%,34.4%,39
2002 Rome R64,L vs Galimberti,19.2%,26.9%,46.8%,26.3%,26.2%,38.1%,61.3%,39.3%,16.7%,58.3%,80.0%,11.4%,14.3%,32.3%,-37
2001 Roland Garros F,L vs Kuerten,11.6%,19.0%,46.6%,16.0%,20.3%,31.3%,54.9%,28.6%,25.8%,72.7%,66.7%,1.9%,5.7%,38.5%,-99
2001 Roland Garros SF,W vs Grosjean,12.2%,21.4%,63.4%,17.1%,14.0%,27.9%,64.9%,25.1%,33.3%,78.6%,100.0%,11.8%,17.6%,62.2%,2
2001 Roland Garros QF,W vs Federer,10.2%,18.1%,55.0%,16.8%,9.0%,17.9%,56.3%,19.6%,20.0%,75.0%,70.0%,13.6%,20.5%,52.6%,17
2001 Rome R16,W vs Hewitt,14.3%,27.4%,57.7%,20.4%,25.6%,48.7%,58.6%,38.7%,50.0%,56.0%,60.0%,4.5%,9.1%,57.1%,-69
2001 Rome QF,L vs Kuerten,8.6%,18.6%,50.0%,13.0%,12.9%,29.0%,48.1%,22.9%,57.1%,64.7%,75.0%,5.4%,10.8%,51.4%,-60
2001 Rome R64,W vs Moya,13.7%,25.5%,58.1%,19.4%,25.0%,41.7%,52.8%,37.1%,30.0%,60.7%,100.0%,3.8%,11.5%,62.0%,-77
2001 Miami R16,L vs Rafter,26.3%,35.1%,42.1%,29.1%,38.1%,47.6%,53.8%,45.7%,28.6%,42.9%,50.0%,21.9%,31.3%,36.0%,89
2000 Washington F,W vs Agassi,35.0%,41.7%,50.0%,38.3%,44.8%,58.6%,62.5%,51.7%,20.0%,57.9%,100.0%,26.7%,26.7%,40.9%,-30
2000 Roland Garros R16,W vs Federer,27.1%,38.3%,58.7%,34.0%,41.2%,60.8%,76.7%,55.7%,26.9%,64.0%,100.0%,15.1%,18.9%,46.7%,2
2000 Rome SF,L vs Kuerten,23.5%,33.3%,48.6%,28.6%,28.6%,47.6%,53.3%,41.0%,50.0%,27.3%,0.0%,21.4%,25.0%,45.5%,22
2000 Indian Wells F,W vs Enqvist,36.4%,44.2%,62.5%,41.2%,52.6%,65.8%,55.6%,62.4%,58.8%,38.1%,-,21.1%,23.7%,66.7%,-40
2000 Indian Wells SF,W vs Lapentti,37.3%,45.1%,64.5%,40.2%,50.0%,62.5%,66.7%,56.3%,41.7%,41.7%,33.3%,26.9%,30.8%,63.2%,-23
1999 Rome SF,L vs Kuerten,15.6%,21.9%,38.9%,18.9%,29.0%,38.7%,36.4%,35.8%,53.3%,37.5%,50.0%,3.0%,6.1%,40.6%,-85
1998 Tour Finals F,W vs Moya,20.1%,29.6%,51.4%,25.8%,28.4%,39.4%,51.3%,38.3%,61.2%,51.7%,37.5%,9.3%,17.3%,51.5%,-22
1998 Tour Finals SF,W vs Sampras,27.1%,36.5%,62.7%,31.6%,34.0%,44.7%,77.4%,43.2%,44.4%,58.6%,75.0%,21.7%,30.4%,50.0%,14
1998 Indianapolis F,W vs Agassi,21.4%,25.7%,51.4%,23.6%,42.3%,53.8%,60.0%,48.1%,41.7%,50.0%,0.0%,15.4%,15.4%,45.5%,29
1998 Roland Garros F,L vs Moya,16.3%,23.5%,46.7%,20.1%,16.3%,26.5%,58.5%,23.9%,56.5%,73.1%,87.5%,19.0%,23.8%,32.4%,22
Career (33 matches),,19.8%,28.6%,52.7%,24.9%,26.6%,39.2%,58.0%,36.2%,43.6%,57.9%,63.3%,13.2%,18.1%,47.0%,17
