Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2005,525,43,,,,,,,,,1430,5,,
2004,114,385,79,1743,70,1700,49,1753,98,1561,297,150,,
2003,100,391,46,1822,40,1774,27,1833,,,125,416,78,1567
2002,19,1555,17,1939,22,1860,5,1968,50,1666,88,675,38,1684
2001,16,1525,16,1933,19,1864,6,1962,72,1621,99,635,,
2000,8,2475,5,2026,7,1960,3,2017,,,304,150,,
1999,26,1319,28,1885,32,1828,13,1902,,,1218,5,,
1998,3,3398,9,2026,9,1982,2,2035,51,1677,265,215,,
1997,12,2275,16,1956,23,1864,6,1985,,,76,886,,
1996,23,1385,34,1888,34,1830,22,1897,62,1656,111,595,,
1995,48,,61,1826,102,1679,36,1824,,,122,565,,
1994,22,,25,1925,66,1752,19,1927,70,1647,288,168,,
1993,76,,72,1800,133,1634,51,1793,,,632,37,,
1992,86,,128,1702,156,1597,116,1664,,,263,151,,
1991,235,,,,,,,,,,404,68,,
