Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2015,1,0,1,0.0%,0-2,0.0%,8-12,40.0%,0-0,-,1,50.0%,30.0%,3.3%,1.7%,61.7%,45.9%,52.2%,48.3%,32.0%,40.9%,0.62,R32 (Stuttgart)
2013,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,-,-,3.3%,6.7%,55.0%,48.5%,44.4%,46.7%,36.7%,42.2%,0.69,R32 (Kuala Lumpur)
2012,25,9,16,36.0%,26-37,41.3%,281-317,47.0%,3-3,50.0%,24,-,-,1.4%,4.5%,63.0%,58.6%,42.6%,52.7%,43.6%,48.3%,0.92,SF (Memphis)
2011,42,20,22,47.6%,44-53,45.4%,405-455,47.1%,2-2,50.0%,38,-,-,1.3%,5.1%,60.2%,59.0%,44.0%,53.0%,44.7%,48.9%,0.95,W (Fes)
2010,29,9,20,31.0%,23-44,34.3%,272-340,44.4%,2-1,66.7%,28,-,-,0.5%,4.3%,66.3%,58.4%,43.7%,53.5%,42.8%,48.1%,0.92,R16 (5x)
2009,19,9,10,47.4%,19-20,48.7%,173-182,48.7%,2-0,100.0%,19,-,-,1.7%,5.4%,63.9%,58.6%,46.4%,54.2%,45.3%,49.8%,0.99,F (Guangzhou)
2008,3,0,3,0.0%,1-6,14.3%,26-42,38.2%,0-1,0.0%,2,-,-,5.4%,8.7%,64.1%,50.8%,39.4%,46.7%,34.8%,40.2%,0.65,R32 (3x)
2007,18,3,15,16.7%,5-29,14.7%,107-193,35.7%,0-0,-,12,-,-,2.5%,6.2%,62.5%,55.6%,39.6%,49.6%,39.0%,44.5%,0.77,R16 (2x)
2006,7,3,4,42.9%,6-10,37.5%,79-82,49.1%,1-3,25.0%,2,-,-,2.3%,3.1%,65.1%,60.7%,42.2%,54.3%,38.5%,46.0%,0.84,QF (Kolkata)
2001,1,0,1,0.0%,0-2,0.0%,8-12,40.0%,0-0,-,0,,,,,,,,,,,,R32 (Tashkent)
Career,146,53,93,36.3%,124-205,37.7%,1364-1647,45.3%,10-10,50.0%,127,50.0%,30.0%,1.4%,4.9%,62.9%,58.2%,43.6%,52.8%,43.3%,48.1%,0.92,
