Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),353,137,324,1449,314,1401,362,1327,153,1506,,,,
2025,279,193,252,1515,257,1463,331,1360,128,1539,,,,
2024,243,236,247,1506,255,1458,291,1400,162,1498,776,52,,
2023,188,319,179,1576,157,1546,288,1384,155,1491,,,,
2022,308,165,249,1494,227,1466,345,1321,,,,,,
2021,728,31,,,,,,,,,,,,
2019,728,24,,,,,,,,,1119,18,,
