Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,42,18,24,42.9%,44-54,44.9%,420-437,49.0%,2-5,28.6%,37,54.9%,37.6%,1.0%,4.4%,67.8%,57.3%,43.3%,52.8%,45.1%,49.0%,0.96
Clay,3,2,1,66.7%,4-2,66.7%,29-23,55.8%,0-0,-,3,61.5%,53.8%,0.0%,4.7%,69.2%,58.0%,50.9%,55.8%,49.7%,52.7%,1.13
Grass,2,1,1,50.0%,0-2,0.0%,5-12,29.4%,0-0,-,2,50.0%,33.3%,0.0%,7.0%,69.0%,61.2%,31.8%,52.1%,45.5%,48.3%,0.95
Grand Slams,3,1,2,33.3%,1-4,20.0%,18-26,40.9%,0-0,-,3,52.2%,38.5%,1.2%,5.9%,66.9%,55.8%,41.1%,50.9%,46.9%,48.8%,0.95
Premiers,9,3,6,33.3%,7-13,35.0%,78-98,44.3%,0-2,0.0%,9,54.7%,35.2%,0.4%,4.1%,71.1%,55.5%,42.6%,51.8%,44.0%,47.8%,0.91
Internationals,21,8,13,38.1%,22-30,42.3%,217-247,46.8%,2-3,40.0%,21,55.8%,37.7%,1.0%,4.6%,67.2%,59.0%,42.7%,53.7%,45.2%,49.4%,0.98
Semi-finals,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,1,44.4%,22.2%,0.0%,7.8%,67.5%,55.8%,40.0%,50.6%,41.0%,46.4%,0.83
Quarter-finals,4,1,3,25.0%,3-7,30.0%,39-52,42.9%,0-1,0.0%,4,52.2%,34.1%,0.3%,3.8%,69.2%,56.9%,35.4%,50.3%,42.4%,46.5%,0.85
vs Righties,40,16,24,40.0%,36-54,40.0%,371-420,46.9%,1-5,16.7%,39,55.0%,38.5%,0.8%,4.2%,68.1%,56.9%,44.1%,52.8%,45.5%,49.1%,0.96
vs Lefties,4,2,2,50.0%,6-4,60.0%,46-38,54.8%,1-0,100.0%,3,57.1%,38.2%,1.6%,6.8%,66.0%,63.6%,37.6%,54.8%,45.0%,50.3%,1.00
vs Top 10,2,0,2,0.0%,0-4,0.0%,14-25,35.9%,0-0,-,2,30.0%,42.1%,0.0%,3.6%,73.6%,42.7%,40.5%,42.1%,46.8%,44.4%,0.81
