Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2024 Auckland R32,L vs Montgomery,0.0%,-,12.3%,52.6%,7.1%,17.6%,11.1%,5.8%,22.2%,0.4%,0.0%,-13,2
2024 Indian Wells R64,L vs Kostyuk,0.0%,-,11.6%,76.9%,16.4%,22.2%,0.0%,3.3%,0.0%,1.7%,0.0%,68,15
2023 Tokyo R16,L vs Swiatek,0.0%,-,9.7%,46.7%,9.1%,16.0%,0.0%,7.0%,29.4%,0.3%,0.0%,-39,-50
2023 Roland Garros Q1,L vs Kempen,0.0%,-,3.4%,25.0%,9.3%,29.4%,0.0%,12.3%,16.7%,0.9%,50.0%,-84,-73
2021 Indian Wells R128,L vs Paolini,0.0%,-,3.5%,40.0%,11.1%,20.0%,0.0%,7.2%,17.6%,2.0%,16.7%,-21,-24
2021 Chicago R64,W vs Garcia,0.0%,-,1.9%,50.0%,18.0%,37.5%,0.0%,12.5%,33.3%,0.0%,-,-37,-7
Career (6 matches),,0.0%,-,7.4%,53.4%,10.8%,21.9%,5.6%,7.8%,19.7%,1.0%,15.4%,-24,-25
