Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2022 Tokyo R32,L vs Noguchi,0.90,0.85,67.7,3.0,7.7%,69.2%,10.2%,63.3%,18.0%,46.7%
2019 Binghamton CH R32,L vs Ritschard,0.71,0.76,51.4,5.9,-,65.9%,-,54.1%,41.3%,44.1%
2019 Newport R16,L vs Humbert,0.84,0.69,55.4,3.0,-,67.9%,-,48.0%,36.7%,32.1%
2019 Newport R32,W vs Stakhovsky,1.13,1.09,61.1,18.9,-,64.4%,-,66.7%,30.2%,36.5%
2019 Winnetka CH QF,L vs Istomin,0.88,0.77,55.1,2.5,-,54.5%,-,60.0%,40.5%,34.1%
2019 Surbiton CH R32,L vs Bachinger,0.88,0.69,46.1,6.3,-,67.5%,-,63.2%,29.5%,24.4%
2019 Busan CH R32,L vs Ilkel,1.10,0.64,53.5,2.0,16.1%,51.6%,10.0%,50.0%,29.0%,28.6%
2019 Seoul CH R16,L vs Li,0.96,0.91,89.7,3.2,3.6%,71.4%,7.8%,68.6%,28.8%,28.0%
2019 Seoul CH R32,W vs Nam,1.22,1.40,57.4,2.0,7.7%,69.2%,10.8%,75.7%,37.1%,25.8%
2019 Nanchang CH SF,L vs Thompson,0.91,0.73,58.9,2.2,11.9%,64.3%,9.8%,51.2%,30.3%,37.9%
2019 Nanchang CH QF,W vs Zhang,1.30,3.26,30.0,2.1,4.5%,77.3%,15.8%,78.9%,45.0%,65.0%
2019 Nanchang CH R16,W vs Uchida,0.95,1.65,39.7,2.2,14.3%,76.2%,21.1%,63.2%,57.9%,45.7%
2019 Nanchang CH R32,W vs Te,1.47,1.77,39.8,2.2,6.5%,67.7%,16.1%,64.5%,47.8%,33.3%
2019 Anning CH QF,L vs Majchrzak,1.04,0.65,48.8,2.0,3.0%,60.6%,3.1%,46.9%,33.3%,24.1%
2019 Anning CH R16,W vs Zhang,1.26,1.30,57.7,3.0,1.9%,51.9%,2.1%,70.2%,43.6%,37.1%
2019 Anning CH R32,W vs Bai,1.29,1.47,51.6,3.3,2.6%,50.0%,0.0%,63.9%,47.1%,51.5%
2019 Taipei CH QF,L vs Kwon,0.95,0.68,56.1,2.7,15.0%,70.0%,16.7%,58.3%,22.9%,28.1%
2019 Taipei CH R16,W vs Lo,1.06,1.48,55.9,4.4,5.4%,70.3%,11.4%,80.0%,32.6%,37.5%
2019 Taipei CH R32,W vs Banes,1.11,2.34,39.7,2.0,-,80.8%,-,77.3%,42.9%,45.0%
2019 Phoenix CH R64,L vs Krstin,0.82,0.30,30.9,2.0,19.2%,57.7%,18.2%,54.5%,17.4%,15.0%
2022 (1 matches),,0.90,0.85,67.7,3.0,7.7%,69.2%,10.2%,63.3%,18.0%,46.7%
2019 (28 matches),,1.00,0.99,57.9,3.0,8.3%,64.4%,9.4%,63.4%,35.3%,36.0%
2018 (24 matches),,1.00,0.98,52.3,2.4,9.7%,67.4%,9.8%,61.1%,35.6%,33.8%
2017 (16 matches),,0.97,0.78,62.2,2.9,9.2%,61.4%,6.9%,56.0%,34.7%,31.9%
2016 (14 matches),,0.92,0.72,47.9,2.6,5.6%,62.8%,4.6%,56.5%,29.4%,33.7%
Career (89 matches),,0.98,0.88,55.3,2.7,8.6%,64.6%,7.9%,60.1%,33.9%,34.1%
