Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),1184,9,,,,,,,,,,,,
2025,1158,10,,,,,,,,,,,,
2024,395,119,381,1358,359,1330,,,233,1387,144,521,,
2023,440,99,,,,,,,,,,,,
2022,434,98,330,1404,296,1380,319,1367,205,1416,,,,
2021,184,360,207,1548,179,1521,236,1452,126,1534,,,,
2020,190,340,253,1433,239,1403,246,1370,,,108,838,,
2019,174,293,240,1501,240,1456,246,1440,128,1535,134,608,,
2018,132,433,274,1453,261,1401,257,1406,123,1522,233,242,,
2017,148,379,240,1494,234,1449,235,1435,142,1500,421,132,,
2016,227,231,338,1324,330,1292,303,1321,246,1332,237,306,,
2015,248,209,321,1380,301,1343,317,1326,,,286,242,,
2014,241,203,313,1369,289,1350,,,,,274,250,,
2013,526,65,,,,,,,,,414,149,,
2012,787,19,,,,,,,,,831,38,,
2011,896,11,,,,,,,,,964,27,,
