Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,223,99,124,44.4%,228-289,44.1%,2532-2684,48.5%,44-69,38.9%,221,80.9%,17.0%,11.7%,5.9%,58.0%,74.3%,50.2%,64.2%,34.0%,49.2%,0.95
Clay,59,26,33,44.1%,57-75,43.2%,599-660,47.6%,4-11,26.7%,59,72.6%,23.2%,7.0%,5.1%,58.0%,67.8%,47.8%,59.4%,37.1%,48.5%,0.91
Grass,15,6,9,40.0%,14-23,37.8%,183-203,47.4%,3-6,33.3%,15,85.6%,10.5%,11.9%,4.8%,67.4%,75.6%,47.0%,66.3%,30.1%,48.5%,0.89
Carpet,3,1,2,33.3%,4-5,44.4%,52-51,50.5%,2-3,40.0%,3,93.9%,8.2%,10.8%,4.1%,72.1%,74.0%,60.2%,70.2%,25.9%,48.8%,0.87
Finals,7,1,6,14.3%,4-12,25.0%,70-90,43.8%,1-2,33.3%,7,75.9%,11.5%,11.9%,6.9%,60.0%,73.1%,42.6%,60.9%,30.8%,46.6%,0.79
Semi-finals,13,7,6,53.8%,16-17,48.5%,163-149,52.2%,1-4,20.0%,13,81.2%,24.2%,10.9%,5.6%,56.5%,73.7%,49.2%,63.0%,35.3%,49.8%,0.95
Quarter-finals,34,13,21,38.2%,31-47,39.7%,378-420,47.4%,5-14,26.3%,34,79.7%,16.3%,12.0%,5.6%,59.4%,73.3%,48.2%,63.1%,34.6%,49.0%,0.94
vs Righties,256,109,147,42.6%,253-339,42.7%,2852-3080,48.1%,45-78,36.6%,254,79.5%,17.4%,10.7%,5.7%,58.8%,73.0%,49.7%,63.4%,34.1%,48.9%,0.93
vs Lefties,30,13,17,43.3%,28-39,41.8%,323-357,47.5%,5-8,38.5%,30,78.7%,17.0%,11.1%,5.3%,57.6%,72.7%,49.4%,62.8%,34.0%,48.7%,0.91
