Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2002,4,1,3,25.0%,4-6,40.0%,45-49,47.9%,1-0,100.0%,0,,,,,,,,,,,,R16 (Memphis)
2001,5,0,5,0.0%,3-10,23.1%,48-70,40.7%,0-0,-,0,,,,,,,,,,,,R32 (3x)
2000,25,7,18,28.0%,18-37,32.7%,200-287,41.1%,1-2,33.3%,0,,,,,,,,,,,,R16 (2x)
1999,12,5,7,41.7%,11-12,47.8%,100-100,50.0%,2-1,66.7%,0,,,,,,,,,,,,F (Kuala Lumpur)
1998,6,2,4,33.3%,5-9,35.7%,49-71,40.8%,0-0,-,0,,,,,,,,,,,,QF (Tokyo)
1997,4,1,3,25.0%,3-5,37.5%,32-41,43.8%,0-0,-,0,,,,,,,,,,,,R16 (Surabaya)
1996,9,2,7,22.2%,9-14,39.1%,102-122,45.5%,1-1,50.0%,0,,,,,,,,,,,,R16 (Jakarta)
1995,13,4,9,30.8%,10-18,35.7%,117-138,45.9%,1-0,100.0%,0,,,,,,,,,,,,R16 (Houston)
1994,10,1,9,10.0%,4-17,19.0%,77-113,40.5%,1-1,50.0%,0,,,,,,,,,,,,R16 (Philadelphia)
1993,14,5,9,35.7%,10-20,33.3%,117-157,42.7%,1-2,33.3%,0,,,,,,,,,,,,QF (Hong Kong)
1992,5,1,4,20.0%,4-9,30.8%,39-66,37.1%,0-1,0.0%,0,,,,,,,,,,,,R16 (Oklahoma)
1991,23,9,14,39.1%,22-33,40.0%,216-267,44.7%,1-3,25.0%,0,,,,,,,,,,,,QF (San Antonio)
1990,10,4,6,40.0%,8-11,42.1%,72-92,43.9%,1-1,50.0%,0,,,,,,,,,,,,QF (Scottsdale)
1989,2,0,2,0.0%,0-3,0.0%,1-18,5.3%,0-1,0.0%,0,,,,,,,,,,,,R32 (2x)
Career,142,42,100,29.6%,111-204,35.2%,1215-1591,43.3%,10-13,43.5%,0,,,,,,,,,,,,
