Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2024 Wimbledon R128,L vs Ruud,38,35,1.1,18.0%,16.6%,26,32,0.8,15.0%,18.5%,8.7%,4.6%,1.6,21.3%,13.3%
2021 San Diego R32,L vs Hurkacz,14,35,0.4,11.3%,28.2%,12,35,0.3,10.4%,30.4%,7.0%,3.5%,1.1,12.1%,11.3%
2021 Wimbledon R64,L vs Norrie,24,38,0.6,15.9%,25.2%,15,36,0.4,11.2%,26.9%,8.2%,2.2%,1.6,10.6%,6.6%
2021 Wimbledon R128,W vs Krajinovic,41,21,2.0,19.4%,10.0%,31,21,1.5,17.1%,11.6%,11.6%,5.5%,1.3,17.1%,12.8%
2021 Australian Open R64,L vs Dimitrov,15,42,0.4,8.7%,24.4%,15,42,0.4,10.1%,28.2%,,,1.1,9.3%,8.1%
2021 Australian Open R128,W vs Gombos,20,27,0.7,9.0%,12.1%,20,27,0.7,10.0%,13.5%,,,0.5,8.1%,17.9%
2020 Australian Open R64,L vs Thiem,38,55,0.7,12.5%,18.2%,38,55,0.7,14.1%,20.4%,,,1.6,14.5%,9.2%
2020 Australian Open R128,W vs Ramos,44,66,0.7,14.8%,22.1%,44,66,0.7,16.2%,24.4%,,,0.7,8.4%,12.8%
2019 Lexington CH F,L vs Sinner,40,38,1.1,21.4%,20.3%,29,35,0.8,18.1%,21.9%,8.1%,3.1%,1.0,19.3%,18.7%
2019 Indian Wells Masters R64,L vs Pella,36,46,0.8,18.6%,23.7%,28,43,0.7,16.4%,25.1%,14.6%,1.8%,0.9,11.9%,13.9%
2018 Wimbledon R128,L vs Edmund,30,36,0.8,17.4%,20.9%,20,31,0.6,13.5%,20.9%,8.1%,4.7%,3.2,16.9%,5.2%
2018 Australian Open R128,L vs Troicki,35,46,0.8,12.0%,15.8%,35,46,0.8,14.1%,18.5%,,,1.0,10.6%,10.3%
2017 Australian Open R128,L vs Nishioka,54,68,0.8,23.2%,29.2%,35,63,0.6,17.2%,30.9%,13.2%,2.9%,0.8,6.9%,9.0%
2014 Napa CH R16,W vs Novikov,25,20,1.3,14.0%,11.2%,19,17,1.1,12.2%,10.9%,9.0%,1.9%,1.5,20.2%,13.5%
Career (14 matches),,454,573,0.8,15.4%,19.4%,367,549,0.7,14.2%,21.3%,5.7%,1.9%,1.1,13.1%,11.7%
