Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,20,9,11,45.0%,5,0,5,0.0%,1999,2009,R16,8,0.96,2.5%,4.5%,62.6%,62.8%,48.0%,57.3%,41.0%,59.3%,43.9%
Roland Garros,13,Clay,25,12,13,48.0%,4,1,3,25.0%,1997,2009,R32,11,1.02,1.3%,3.3%,61.8%,60.0%,45.2%,54.4%,46.5%,52.0%,45.5%
Wimbledon,11,Grass,18,7,11,38.9%,5,3,2,60.0%,1998,2008,R32,8,1.03,5.2%,3.4%,64.8%,64.0%,48.9%,58.7%,42.5%,58.3%,29.6%
US Open,11,Hard,18,7,11,38.9%,4,2,2,50.0%,1998,2008,R32,8,0.89,2.4%,3.7%,63.8%,57.1%,47.7%,53.7%,41.2%,47.8%,41.7%
Fed Cup,2,,3,2,1,66.7%,0,0,0,-,2003,2004,,0,,,,,,,,,,
Paris,13,Carpet,27,14,13,51.9%,7,1,6,14.3%,1997,2009,QF,9,0.99,5.2%,4.4%,61.5%,65.9%,43.3%,57.2%,42.4%,57.7%,66.7%
Indian Wells,9,Hard,15,5,10,33.3%,2,1,1,50.0%,2000,2008,R64,3,0.77,4.9%,4.9%,63.5%,51.9%,37.8%,46.8%,41.1%,47.4%,37.0%
Miami,9,Hard,13,4,9,30.8%,4,2,2,50.0%,2001,2009,R32,5,0.86,2.0%,3.3%,68.7%,57.3%,40.4%,52.0%,41.3%,29.4%,62.1%
Acapulco,7,Clay,26,20,6,76.9%,7,5,2,71.4%,2002,2009,W,5,1.25,1.4%,2.8%,66.3%,61.9%,50.0%,57.9%,52.5%,54.1%,50.0%
Strasbourg,7,Clay,18,11,7,61.1%,2,0,2,0.0%,1998,2007,SF,3,1.23,1.2%,8.7%,57.8%,65.0%,46.6%,57.2%,52.7%,52.9%,57.1%
Bogota,6,Clay,14,8,6,57.1%,7,2,5,28.6%,2002,2008,SF,0,,,,,,,,,,
