Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2009,7,3,4,42.9%,8-10,44.4%,80-87,47.9%,1-0,100.0%,6,-,-,3.6%,4.7%,63.0%,62.6%,43.0%,55.4%,42.0%,48.9%,0.94,QF (Paris)
2008,19,5,14,26.3%,14-29,32.6%,177-240,42.4%,3-5,37.5%,14,-,-,2.9%,4.2%,67.2%,56.3%,40.7%,51.2%,40.7%,46.0%,0.83,R16 (Fes)
2007,49,26,23,53.1%,56-48,53.8%,490-462,51.5%,4-4,50.0%,32,-,-,2.7%,4.4%,64.0%,59.6%,43.8%,53.9%,45.5%,49.7%,0.99,W (Acapulco)
2006,36,20,16,55.6%,45-35,56.3%,400-351,53.3%,5-8,38.5%,15,-,-,3.4%,3.5%,64.3%,59.6%,47.1%,55.2%,44.7%,49.9%,1.00,SF (3x)
2005,35,15,20,42.9%,39-42,48.1%,374-391,48.9%,4-3,57.1%,5,-,-,1.9%,4.0%,52.3%,66.5%,44.4%,56.0%,47.6%,51.7%,1.08,SF (2x)
2004,51,30,21,58.8%,67-46,59.3%,556-508,52.3%,6-7,46.2%,4,-,-,2.5%,5.1%,59.1%,60.7%,45.4%,54.4%,41.3%,47.4%,0.91,W (2x)
2003,46,23,23,50.0%,54-55,49.5%,506-511,49.8%,4-5,44.4%,8,-,-,1.7%,3.2%,63.5%,65.2%,53.0%,60.8%,43.4%,51.5%,1.11,SF (2x)
2002,37,20,17,54.1%,45-42,51.7%,410-409,50.1%,5-3,62.5%,0,,,,,,,,,,,,SF (Brussels)
2001,27,12,15,44.4%,28-35,44.4%,270-307,46.8%,1-2,33.3%,0,,,,,,,,,,,,SF (Casablanca)
2000,11,4,7,36.4%,12-15,44.4%,115-124,48.1%,1-2,33.3%,0,,,,,,,,,,,,R16 (Auckland)
1999,18,3,15,16.7%,11-28,28.2%,126-201,38.5%,0-3,0.0%,0,,,,,,,,,,,,R16 (Australian Open)
1998,8,3,5,37.5%,8-9,47.1%,71-72,49.7%,0-1,0.0%,0,,,,,,,,,,,,R16 (2x)
1997,1,0,1,0.0%,1-2,33.3%,11-16,40.7%,0-0,-,0,,,,,,,,,,,,R128 (French Open)
Career,345,164,181,47.5%,388-396,49.5%,3586-3679,49.4%,34-43,44.2%,84,-,-,2.8%,4.1%,63.5%,60.2%,44.9%,54.6%,44.0%,49.3%,0.97,
