Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,14,9,5,64.3%,17-12,58.6%,139-113,55.2%,2-1,66.7%,14,69.0%,42.1%,6.1%,4.1%,63.2%,68.0%,43.1%,58.8%,46.3%,52.8%,1.13,SF (2x)
2025,42,29,13,69.0%,65-32,67.0%,528-352,60.0%,1-7,12.5%,40,67.5%,54.1%,1.5%,3.2%,70.6%,61.3%,49.1%,57.7%,51.3%,54.4%,1.21,W (3x)
2024,16,8,8,50.0%,19-19,50.0%,173-149,53.7%,1-1,50.0%,3,53.3%,20.0%,1.5%,3.9%,67.0%,63.0%,32.4%,52.9%,38.7%,45.9%,0.82,W (W15 Sharm ElSheikh)
2023,36,14,22,38.9%,37-44,45.7%,344-377,47.7%,4-2,66.7%,2,70.8%,31.8%,2.9%,1.8%,66.5%,58.4%,56.1%,57.6%,45.9%,52.0%,1.08,SF (W25 Perigueux)
2022,59,25,34,42.4%,59-80,42.4%,619-687,47.4%,5-7,41.7%,0,,,,,,,,,,,,SF (3x)
2021,65,41,24,63.1%,91-65,58.3%,750-657,53.3%,8-5,61.5%,1,50.0%,0.0%,1.5%,4.5%,53.7%,50.0%,48.4%,49.3%,28.6%,40.5%,0.56,W (2x)
2020,38,24,14,63.2%,52-39,57.1%,432-373,53.7%,1-0,100.0%,0,,,,,,,,,,,,W (W15 Palmanova)
2019,45,25,20,55.6%,54-49,52.4%,481-442,52.1%,2-2,50.0%,0,,,,,,,,,,,,F (W15 Telavi)
2018,27,14,13,51.9%,32-30,51.6%,266-267,49.9%,0-2,0.0%,0,,,,,,,,,,,,SF (2x)
2017,11,4,7,36.4%,7-15,31.8%,65-107,37.8%,0-0,-,0,,,,,,,,,,,,QF (Telavi $15K)
2016,6,2,4,33.3%,6-10,37.5%,64-84,43.2%,1-0,100.0%,0,,,,,,,,,,,,QF (Hammamet $10K)
Career,359,195,164,54.3%,439-395,52.6%,3861-3608,51.7%,25-27,48.1%,60,67.0%,48.2%,2.6%,3.4%,68.4%,62.4%,47.0%,57.6%,49.2%,53.3%,1.16,
