Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2005 Roland Garros R16,L vs Nadal,0.0%,-,20.9%,69.6%,11.8%,17.5%,4.2%,1.2%,0.0%,1.7%,30.0%,-49,-61
2004 Wimbledon SF,L vs Federer,2.9%,100.0%,16.8%,45.5%,8.5%,7.7%,5.3%,13.2%,60.0%,0.0%,-,-61,-56
2004 Queens Club F,L vs Roddick,1.5%,0.0%,15.6%,71.4%,19.8%,25.0%,14.3%,22.6%,50.0%,1.0%,0.0%,60,34
2003 St Petersburg QF,L vs Corretja,3.5%,66.7%,17.2%,75.0%,18.9%,20.6%,20.0%,3.6%,0.0%,0.6%,0.0%,-20,-20
2003 Wimbledon SF,L vs Philippoussis,9.6%,12.5%,12.2%,57.1%,22.2%,16.7%,21.4%,8.6%,25.0%,1.8%,66.7%,36,-8
2002 Madrid SF,L vs Agassi,4.2%,66.7%,7.6%,75.0%,16.3%,24.0%,13.6%,3.8%,11.1%,1.5%,25.0%,-12,11
2002 Roland Garros R64,W vs Blake,0.0%,-,6.7%,61.1%,14.6%,24.0%,14.3%,11.0%,50.0%,2.2%,30.0%,-18,-15
2002 Monte Carlo SF,L vs Ferrero,1.6%,100.0%,10.9%,78.6%,13.5%,17.2%,14.3%,3.8%,22.2%,2.5%,0.0%,-26,-28
2001 Davis Cup World Group F RR,L vs Hewitt,2.3%,50.0%,17.5%,53.1%,13.8%,30.0%,11.5%,3.8%,17.4%,0.0%,-,-66,-73
2001 Masters Cup F,L vs Hewitt,0.0%,-,13.0%,81.0%,14.0%,14.3%,10.5%,5.1%,10.0%,0.3%,0.0%,42,31
2001 Masters Cup SF,W vs Kafelnikov,0.0%,-,7.1%,62.5%,12.3%,16.7%,0.0%,6.5%,25.0%,1.1%,0.0%,-14,14
2001 Paris F,W vs Kafelnikov,0.0%,-,7.1%,72.2%,13.9%,29.3%,0.0%,13.6%,33.3%,1.7%,16.7%,-50,-10
2001 Paris SF,W vs Haas,0.0%,-,10.7%,61.5%,8.2%,13.9%,5.3%,6.1%,50.0%,1.8%,75.0%,-83,-35
2001 Roland Garros SF,L vs Corretja,0.0%,-,14.8%,61.3%,9.8%,13.7%,16.2%,1.4%,10.0%,2.3%,36.4%,-41,-56
2001 Monte Carlo SF,L vs Arazi,1.4%,100.0%,26.4%,66.7%,8.8%,9.3%,11.1%,6.0%,13.0%,1.7%,14.3%,-43,-54
2001 Australian Open SF,L vs Clement,2.2%,66.7%,10.0%,71.4%,14.2%,16.7%,14.3%,4.5%,13.6%,0.5%,0.0%,-63,-48
2000 Stuttgart SF,L vs Ferreira,1.6%,0.0%,8.0%,33.3%,9.1%,15.0%,0.0%,5.4%,25.0%,0.0%,-,-63,-21
1999 Miami F,L vs Krajicek,4.2%,40.0%,11.8%,64.3%,17.3%,27.3%,6.7%,5.2%,18.2%,0.0%,-,-6,-31
1999 Miami SF,W vs Clavet,0.0%,-,12.1%,75.0%,10.7%,11.4%,13.6%,5.7%,20.0%,0.6%,0.0%,-73,-61
Career (19 matches),,1.9%,48.4%,12.7%,65.3%,13.2%,18.8%,11.7%,5.5%,20.3%,1.1%,24.3%,-35,-31
