Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2005 Roland Garros R16,L vs Nadal,10.5%,25.4%,49.5%,20.3%,13.4%,35.8%,53.4%,30.0%,75.0%,41.0%,80.0%,7.5%,12.5%,43.2%,-39
2004 Wimbledon SF,L vs Federer,23.6%,32.1%,38.5%,27.5%,28.8%,40.7%,45.2%,35.8%,37.0%,53.1%,20.0%,18.2%,22.7%,30.6%,-13
2004 Queens Club F,L vs Roddick,25.0%,45.8%,55.8%,34.2%,37.8%,64.4%,64.3%,52.4%,63.6%,39.1%,50.0%,4.0%,16.0%,45.8%,-77
2003 St Petersburg QF,L vs Corretja,20.4%,38.7%,58.6%,28.9%,26.1%,50.0%,52.9%,43.3%,68.4%,51.9%,75.0%,16.3%,30.2%,63.9%,46
2003 Wimbledon SF,L vs Philippoussis,24.7%,39.3%,56.9%,32.5%,37.0%,56.5%,65.5%,52.0%,63.2%,25.9%,25.0%,12.2%,22.0%,50.0%,-9
2002 Madrid SF,L vs Agassi,36.0%,46.1%,43.9%,43.1%,43.6%,58.2%,64.5%,55.3%,42.9%,37.0%,50.0%,23.5%,26.5%,19.2%,-79
2002 Roland Garros R64,W vs Blake,22.5%,30.2%,49.5%,27.9%,31.9%,43.5%,53.2%,42.0%,29.0%,73.7%,100.0%,13.7%,17.6%,45.5%,22
2002 Monte Carlo SF,L vs Ferrero,23.1%,30.8%,40.0%,28.9%,24.2%,36.4%,52.0%,35.8%,58.8%,81.3%,33.3%,21.9%,25.0%,28.0%,-79
2001 Davis Cup World Group F RR,L vs Hewitt,20.9%,28.6%,38.0%,24.9%,35.0%,47.5%,38.5%,44.3%,65.0%,60.0%,66.7%,10.0%,14.0%,37.8%,-49
2001 Masters Cup F,L vs Hewitt,18.3%,30.5%,50.0%,25.5%,30.8%,48.7%,55.6%,45.9%,52.9%,40.9%,66.7%,7.5%,15.0%,45.9%,-41
2001 Masters Cup SF,W vs Kafelnikov,30.2%,39.6%,61.8%,33.2%,44.0%,52.0%,57.1%,50.4%,25.0%,41.2%,0.0%,20.0%,32.0%,65.0%,78
2001 Paris F,W vs Kafelnikov,38.9%,47.6%,57.3%,43.7%,49.4%,55.7%,50.0%,57.1%,55.6%,41.9%,100.0%,22.2%,35.6%,65.7%,-15
2001 Paris SF,W vs Haas,41.1%,48.2%,60.6%,43.8%,55.9%,64.7%,53.3%,60.3%,35.7%,55.0%,100.0%,18.2%,22.7%,66.7%,-79
2001 Roland Garros SF,L vs Corretja,14.4%,21.6%,45.7%,20.8%,21.7%,33.3%,46.8%,33.5%,30.0%,50.0%,40.0%,6.3%,8.3%,44.4%,-79
2001 Monte Carlo SF,L vs Arazi,14.3%,18.6%,41.7%,18.1%,16.3%,22.4%,43.9%,21.8%,75.0%,37.9%,40.0%,9.5%,9.5%,36.8%,-79
2001 Australian Open SF,L vs Clement,25.0%,37.2%,54.5%,30.7%,40.5%,57.0%,63.8%,51.8%,47.6%,43.2%,0.0%,9.7%,18.1%,47.7%,-18
2000 Stuttgart SF,L vs Ferreira,29.4%,33.8%,33.3%,31.8%,32.3%,38.7%,28.6%,37.4%,70.6%,57.1%,60.0%,32.3%,35.5%,38.1%,167
1999 Miami F,L vs Krajicek,16.4%,23.8%,47.5%,20.3%,19.7%,27.6%,49.2%,26.1%,48.6%,59.0%,50.0%,11.6%,18.6%,44.7%,2
1999 Miami SF,W vs Clavet,26.7%,35.0%,68.2%,31.3%,48.3%,55.2%,80.0%,57.9%,69.2%,31.3%,-,6.5%,16.1%,62.1%,-79
Career (19 matches),,23.7%,33.9%,49.5%,29.4%,32.6%,46.0%,52.8%,43.0%,52.4%,48.3%,53.5%,13.8%,20.6%,46.2%,-3
