Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2010,722,20,,,,,,,,,442,120,,
2009,677,26,,,,,,,,,289,215,,
2008,170,251,56,1788,66,1707,,,33,1736,252,225,,
2007,53,621,39,1832,46,1748,39,1775,26,1750,96,590,64,1609
2006,28,965,32,1857,37,1785,34,1795,15,1800,154,360,78,1588
2005,25,1135,28,1874,41,1756,31,1798,7,1829,176,305,71,1617
2004,15,1370,17,1904,19,1846,30,1821,5,1872,71,905,40,1687
2003,10,1610,18,1904,19,1851,24,1841,10,1834,118,455,60,1609
2002,17,1640,13,1951,18,1873,13,1895,,,93,645,53,1632
2001,6,2790,10,1992,11,1936,8,1936,12,1833,114,550,,
2000,19,1325,12,1952,9,1916,31,1838,7,1849,133,445,,
1999,27,1298,36,1864,31,1831,57,1771,18,1781,527,73,,
1998,88,568,122,1688,106,1635,129,1619,62,1649,530,64,,
1997,145,313,144,1650,145,1588,151,1585,,,475,86,,
1996,405,71,,,,,,,,,1160,6,,
1995,861,,,,,,,,,,,,,
