Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2014,1,0,1,0.0%,1-2,33.3%,10-15,40.0%,0-0,-,0,,,,,,,,,,,,R32 (Marseille 100K)
2013,3,2,1,66.7%,4-4,50.0%,37-33,52.9%,0-0,-,0,,,,,,,,,,,,QF (Pelham AL 25K)
2010,12,9,3,75.0%,19-11,63.3%,158-119,57.0%,0-2,0.0%,0,,,,,,,,,,,,W (Fort Walton Beach FL 25K)
2009,18,13,5,72.2%,27-16,62.8%,218-180,54.8%,1-3,25.0%,0,,,,,,,,,,,,W (Irapuato 25K)
2008,29,14,15,48.3%,36-35,50.7%,341-326,51.1%,3-5,37.5%,0,,,,,,,,,,,,SF (Bronx NY 50K)
2007,59,38,21,64.4%,86-55,61.0%,689-559,55.2%,7-4,63.6%,0,,,,,,,,,,,,W (2x)
2006,38,13,25,34.2%,32-55,36.8%,348-433,44.6%,3-5,37.5%,0,,,,,,,,,,,,SF (2x)
2005,28,12,16,42.9%,29-33,46.8%,259-287,47.4%,3-1,75.0%,0,,,,,,,,,,,,SF (Albuquerque NM 75K)
2004,67,50,17,74.6%,105-40,72.4%,783-510,60.6%,9-6,60.0%,0,,,,,,,,,,,,W (4x)
2003,12,0,12,0.0%,4-24,14.3%,105-165,38.9%,0-3,0.0%,0,,,,,,,,,,,,R32 (12x)
2002,46,30,16,65.2%,64-39,62.1%,522-433,54.7%,7-7,50.0%,0,,,,,,,,,,,,W (Mackay Qld 25K)
2001,28,22,6,78.6%,47-17,73.4%,344-224,60.6%,2-2,50.0%,0,,,,,,,,,,,,W (3x)
2000,3,1,2,33.3%,2-4,33.3%,30-34,46.9%,0-1,0.0%,0,,,,,,,,,,,,R16 (Pretoria 10K)
Career,344,204,140,59.3%,456-335,57.6%,3844-3318,53.7%,35-39,47.3%,0,,,,,,,,,,,,
