Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 BJK Cup Qualifiers RR,L vs Rybakina,13% (1/8),100% (1/1),0/5,71% (5/7),0% (0/5),0/1,0/0,0/0,0/0,0/0
2019 W15 Tabarka R32,W vs Liauw A Fong,88% (7/8),86% (6/7),1/1,13% (1/8),0% (0/1),3/4,0/0,0/0,0/0,0/0
2019 W15 Tabarka R32,W vs Kalaitzis,88% (7/8),86% (6/7),2/2,38% (3/8),33% (1/3),4/5,1/1,0/0,1/1,0/0
2019 W15 Tacarigua R16,W vs Wuarin,100% (6/6),100% (6/6),0/0,17% (1/6),100% (1/1),4/4,0/0,0/0,0/0,0/0
2019 W15 Bucaramanga R16,W vs Becerra,67% (6/9),100% (6/6),1/3,44% (4/9),25% (1/4),3/4,0/0,0/0,0/0,0/0
2019 W15 Guayaquil SF,W vs Reasco Gonzalez,75% (6/8),100% (6/6),2/2,38% (3/8),33% (1/3),4/5,1/1,0/0,0/0,0/0
2019 W15 Guayaquil QF,W vs Perez Garcia,83% (5/6),100% (5/5),0/0,0% (0/7),- (0/0),5/5,2/2,0/0,1/1,0/0
2019 W15 Guayaquil R16,W vs Bueno,100% (6/6),100% (6/6),0/0,0% (0/6),- (0/0),4/4,0/0,0/0,0/0,0/0
2019 W15 Guayaquil R32,W vs Schmidt,75% (6/8),83% (5/6),1/1,25% (2/8),50% (1/2),4/4,1/1,0/0,1/1,0/0
2019 W15 Antalya R32,L vs Topalova,36% (5/14),60% (3/5),0/4,50% (7/14),29% (2/7),2/3,1/1,0/1,0/0,0/1
2019 W15 Antalya R32,L vs Saigo,36% (4/11),100% (4/4),1/4,82% (9/11),33% (3/9),2/4,0/0,1/3,0/0,0/1
2017 Cucuta $15K R32,L vs Morales,22% (2/9),50% (1/2),0/2,60% (6/10),33% (2/6),0/1,0/0,0/2,0/0,0/1
2016 Antalya $10K F,L vs Lechemia,50% (7/14),71% (5/7),2/5,50% (7/14),14% (1/7),3/5,1/1,0/1,0/0,0/1
2016 Antalya $10K R16,W vs Bredl,100% (7/7),100% (7/7),2/2,29% (2/7),0% (0/2),4/5,0/0,0/0,0/0,0/0
2016 Antalya $10K QF,L vs Herazo Gonzalez,22% (2/9),100% (2/2),2/4,70% (7/10),29% (2/7),2/2,0/0,0/1,0/0,0/1
2016 Antalya $10K R16,W vs Cengiz,100% (6/6),100% (6/6),1/1,14% (1/7),0% (0/1),6/6,2/2,0/0,1/1,0/0
2016 Bogota R32,L vs Vickery,33% (3/9),33% (1/3),0/3,50% (5/10),20% (1/5),0/1,0/0,2/3,0/0,0/1
2016 Antalya $10K SF,L vs Romeo,75% (9/12),89% (8/9),5/7,69% (9/13),0% (0/9),2/8,1/1,0/2,0/0,0/1
2016 Antalya $10K QF,W vs Hruncakova,50% (6/12),83% (5/6),1/6,46% (6/13),0% (0/6),3/5,2/2,0/0,1/1,0/0
2016 Antalya $10K R32,W vs Sella,75% (6/8),100% (6/6),2/2,50% (4/8),50% (2/4),4/4,0/1,0/0,0/0,0/0
2025 (1 matches),,12.5%,100.0%,0.0%,71.4%,0.0%,0.0%,-,-,-,-
2019 (10 matches),,69.0%,91.4%,47.1%,35.3%,33.3%,83.3%,100.0%,25.0%,100.0%,0.0%
2017 (1 matches),,22.2%,50.0%,0.0%,60.0%,33.3%,0.0%,-,0.0%,-,0.0%
2016 (10 matches),,58.3%,87.3%,53.7%,50.0%,16.4%,66.7%,70.0%,44.4%,66.7%,20.0%
2014 (16 matches),,54.4%,82.7%,41.9%,47.6%,21.6%,70.0%,84.6%,68.2%,85.7%,72.7%
Career (44 matches),,54.3%,84.5%,40.3%,47.6%,20.5%,71.2%,78.1%,54.5%,78.6%,47.8%
