Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Canada R32,L vs Rune,28.3%,39.1%,51.6%,32.8%,36.0%,48.0%,62.5%,44.4%,46.2%,50.0%,0.0%,21.1%,31.6%,40.0%,65
2025 Wimbledon R128,L vs Djokovic,24.4%,33.7%,40.7%,29.3%,27.9%,38.7%,45.0%,35.5%,67.3%,27.1%,23.1%,20.4%,27.8%,32.6%,80
2025 Rio de Janeiro F,L vs Baez,20.3%,23.2%,40.4%,22.6%,23.4%,27.7%,47.2%,26.8%,56.5%,45.8%,14.3%,15.8%,15.8%,25.0%,32
2025 Rio de Janeiro SF,W vs Comesana,15.2%,26.8%,58.1%,23.8%,22.5%,38.0%,65.5%,36.2%,62.5%,56.4%,66.7%,2.6%,7.7%,47.4%,-91
2025 Hong Kong F,W vs Nishikori,29.9%,37.7%,52.8%,34.7%,36.7%,45.0%,57.9%,42.8%,48.4%,37.9%,0.0%,6.3%,12.5%,40.0%,-53
2024 Stockholm R16,L vs Rublev,29.8%,35.1%,32.5%,32.5%,36.4%,45.5%,23.8%,40.9%,62.5%,52.9%,60.0%,20.8%,20.8%,42.1%,-79
2024 Rome R16,L vs Jarry,18.9%,25.7%,48.3%,24.1%,23.9%,32.6%,45.7%,32.2%,56.0%,38.1%,25.0%,11.5%,15.4%,52.2%,0
2024 Barcelona R32,L vs Ruud,24.3%,34.3%,32.0%,28.7%,26.8%,39.0%,30.0%,34.4%,23.8%,80.0%,71.4%,23.1%,30.8%,35.0%,78
2024 Indian Wells R64,L vs Dimitrov,26.2%,38.5%,44.4%,33.4%,38.9%,58.3%,54.5%,51.9%,56.3%,30.0%,33.3%,11.5%,15.4%,34.8%,-4
2023 US Open R128,L vs Djokovic,22.1%,26.5%,37.5%,25.3%,28.9%,33.3%,40.6%,33.8%,63.6%,34.8%,42.9%,11.1%,16.7%,31.3%,-22
2023 Gstaad R32,L vs Thiem,34.5%,52.7%,45.7%,41.8%,53.1%,78.1%,53.3%,65.6%,35.7%,66.7%,100.0%,9.1%,18.2%,40.0%,-22
2023 Wimbledon R64,L vs Alcaraz,34.2%,43.3%,39.7%,38.9%,35.4%,46.3%,30.2%,42.3%,43.6%,30.2%,25.0%,32.4%,37.8%,60.0%,-39
2023 Roland Garros R128,L vs Sinner,14.3%,21.4%,41.7%,18.7%,12.2%,24.4%,41.7%,19.8%,40.0%,52.4%,0.0%,17.2%,17.2%,41.7%,-79
2023 Marrakech F,L vs Carballes Baena,26.8%,41.1%,53.2%,35.2%,37.7%,60.7%,68.4%,53.1%,50.0%,60.6%,40.0%,15.2%,19.6%,38.5%,33
2019 Glasgow CH F,L vs Ruusuvuori,14.3%,18.4%,34.1%,21.2%,14.7%,20.6%,37.9%,24.7%,52.6%,40.0%,66.7%,14.3%,14.3%,25.0%,22
Career (15 matches),,24.3%,33.6%,44.2%,29.8%,29.9%,42.0%,47.0%,38.6%,52.6%,44.4%,37.0%,16.1%,21.0%,39.9%,42
