Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Canada R32,L vs Rune,0.0%,-,3.2%,66.7%,12.8%,15.4%,0.0%,5.9%,33.3%,0.0%,-,-27,-22
2025 Wimbledon R128,L vs Djokovic,1.8%,66.7%,11.3%,61.3%,17.9%,17.3%,0.0%,6.8%,14.3%,0.3%,0.0%,5,10
2025 Rio de Janeiro F,L vs Baez,1.5%,0.0%,9.5%,54.5%,3.8%,2.4%,0.0%,4.2%,10.0%,0.7%,50.0%,-88,-72
2025 Rio de Janeiro SF,W vs Comesana,0.9%,100.0%,11.5%,92.0%,12.1%,8.8%,9.5%,8.0%,42.9%,1.7%,28.6%,-50,-60
2025 Hong Kong F,W vs Nishikori,0.0%,-,5.3%,87.5%,17.3%,29.0%,0.0%,2.6%,12.5%,0.4%,100.0%,-93,-61
2024 Stockholm R16,L vs Rublev,7.1%,50.0%,7.6%,62.5%,22.2%,18.2%,50.0%,3.4%,8.3%,0.7%,0.0%,-42,-94
2024 Rome R16,L vs Jarry,1.4%,0.0%,3.7%,40.0%,12.3%,15.0%,0.0%,10.8%,37.5%,1.1%,0.0%,-64,-103
2024 Barcelona R32,L vs Ruud,13.0%,55.6%,13.5%,58.8%,10.0%,10.0%,0.0%,7.0%,33.3%,3.1%,42.9%,-20,-8
2024 Indian Wells R64,L vs Dimitrov,0.0%,-,10.7%,69.2%,5.6%,3.7%,0.0%,6.3%,15.4%,0.0%,-,-43,-25
2023 US Open R128,L vs Djokovic,7.8%,40.0%,10.2%,46.2%,9.2%,11.8%,0.0%,2.5%,14.3%,0.4%,0.0%,-118,-105
2023 Gstaad R32,L vs Thiem,18.9%,90.0%,17.1%,81.8%,12.0%,14.3%,40.0%,11.3%,80.0%,5.5%,30.0%,18,35
2023 Wimbledon R64,L vs Alcaraz,6.1%,57.1%,10.9%,52.0%,8.3%,16.7%,0.0%,7.0%,20.0%,0.8%,0.0%,6,23
2023 Roland Garros R128,L vs Sinner,1.5%,100.0%,11.4%,50.0%,7.7%,22.7%,0.0%,5.7%,14.3%,2.2%,40.0%,-51,-57
2023 Marrakech F,L vs Carballes Baena,2.9%,100.0%,11.1%,78.3%,8.2%,9.5%,0.0%,6.8%,25.9%,1.6%,37.5%,-2,7
2019 Glasgow CH F,L vs Ruusuvuori,2.0%,0.0%,8.0%,75.0%,10.7%,14.3%,0.0%,3.8%,14.3%,0.0%,-,-59,-71
Career (15 matches),,3.9%,63.0%,10.0%,66.7%,10.9%,12.8%,7.8%,6.2%,22.5%,1.2%,31.9%,-39,-35
