Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,3,2,1,66.7%,4-3,57.1%,34-37,47.9%,1-0,100.0%,3,77.1%,17.1%,3.3%,1.3%,64.6%,65.8%,54.1%,61.7%,33.5%,48.7%,0.87,QF (Naples)
2025,4,2,2,50.0%,5-4,55.6%,49-39,55.7%,1-1,50.0%,4,81.4%,30.2%,3.3%,2.6%,64.0%,71.3%,52.0%,64.3%,40.6%,52.3%,1.14,SF (Cap Cana)
2024,16,10,6,62.5%,23-14,62.2%,191-153,55.5%,2-3,40.0%,16,81.7%,30.0%,3.8%,2.6%,62.1%,68.9%,54.1%,63.3%,42.3%,52.6%,1.15,W (San Marino)
2023,38,25,13,65.8%,57-37,60.6%,488-418,53.9%,7-9,43.8%,38,80.0%,27.9%,4.9%,3.0%,66.2%,69.4%,53.6%,64.1%,40.3%,51.9%,1.12,W (Montechiarugolo)
2022,59,33,26,55.9%,72-62,53.7%,666-624,51.6%,10-12,45.5%,59,74.3%,29.0%,3.3%,3.1%,66.7%,65.6%,50.8%,60.6%,41.5%,51.0%,1.05,W (Blois)
2021,44,22,22,50.0%,49-51,49.0%,471-455,50.9%,5-6,45.5%,44,71.1%,30.8%,3.9%,3.4%,67.0%,65.0%,48.5%,59.5%,40.5%,50.2%,1.00,SF (3x)
2020,23,13,10,56.5%,26-24,52.0%,236-229,50.8%,4-2,66.7%,23,74.4%,26.3%,3.8%,2.7%,69.5%,66.5%,49.8%,61.4%,39.2%,50.8%,1.02,SF (2x)
2019,53,26,27,49.1%,65-70,48.1%,651-666,49.4%,13-10,56.5%,52,73.7%,25.5%,3.9%,3.5%,66.5%,66.2%,48.9%,60.4%,39.1%,50.0%,0.99,F (Glasgow)
2018,13,4,9,30.8%,8-20,28.6%,96-154,38.4%,1-0,100.0%,13,60.5%,16.0%,2.3%,4.3%,63.7%,60.1%,45.2%,54.7%,34.3%,44.7%,0.76,QF (Lyon)
2017,9,3,6,33.3%,8-12,40.0%,80-97,45.2%,1-2,33.3%,9,54.0%,36.8%,1.9%,5.1%,60.4%,57.7%,43.4%,52.0%,42.4%,47.4%,0.88,QF (Blois)
2016,3,2,1,66.7%,4-4,50.0%,31-37,45.6%,1-0,100.0%,3,58.8%,30.3%,4.3%,8.1%,54.5%,65.2%,38.5%,53.1%,41.4%,47.0%,0.88,QF (St Remy de Provence)
2015,1,0,1,0.0%,1-2,33.3%,16-19,45.7%,1-0,100.0%,1,58.8%,29.4%,4.5%,9.8%,56.3%,61.9%,44.9%,54.5%,43.5%,48.7%,0.96,R32 (St Remy)
Career,266,142,124,53.4%,322-303,51.5%,3009-2928,50.7%,47-45,51.1%,265,73.6%,27.8%,3.8%,3.3%,66.0%,66.1%,49.9%,60.6%,40.2%,50.4%,1.02,
