Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,70,28,42,40.0%,75-107,41.2%,829-958,46.4%,18-18,50.0%,69,73.3%,19.3%,5.4%,2.8%,66.1%,67.6%,48.8%,61.2%,35.3%,48.5%,0.91
Clay,48,23,25,47.9%,52-62,45.6%,552-592,48.3%,11-13,45.8%,47,73.4%,23.1%,3.7%,2.6%,64.4%,66.0%,49.6%,60.1%,38.0%,49.2%,0.95
Grass,7,2,5,28.6%,8-14,36.4%,106-130,44.9%,5-3,62.5%,7,75.9%,13.2%,4.9%,3.0%,66.3%,63.9%,49.8%,59.2%,32.1%,46.8%,0.79
Grand Slams,21,6,15,28.6%,28-50,35.9%,337-427,44.1%,10-8,55.6%,21,69.5%,18.2%,4.7%,3.0%,66.1%,64.1%,47.6%,58.5%,34.4%,46.9%,0.83
Masters,31,14,17,45.2%,33-41,44.6%,355-384,48.0%,6-9,40.0%,31,77.1%,19.6%,4.7%,2.9%,66.1%,67.4%,51.2%,61.9%,35.9%,49.1%,0.94
Other Tours,72,33,39,45.8%,74-90,45.1%,787-857,47.9%,18-17,51.4%,71,73.8%,21.5%,4.7%,2.6%,64.9%,67.7%,49.1%,61.2%,36.9%,49.2%,0.95
Best of 5,21,6,15,28.6%,28-50,35.9%,337-427,44.1%,10-8,55.6%,21,69.5%,18.2%,4.7%,3.0%,66.1%,64.1%,47.6%,58.5%,34.4%,46.9%,0.83
Best of 3,104,47,57,45.2%,107-133,44.6%,1150-1253,47.9%,24-26,48.0%,102,74.8%,20.9%,4.7%,2.7%,65.3%,67.6%,49.7%,61.4%,36.6%,49.2%,0.95
Finals,3,1,2,33.3%,3-5,37.5%,33-39,45.8%,0-1,0.0%,3,72.2%,20.0%,4.7%,3.5%,65.1%,72.0%,40.0%,60.9%,36.7%,49.8%,0.94
Semi-finals,3,3,0,100.0%,6-2,75.0%,50-42,54.3%,2-1,66.7%,3,82.2%,25.0%,2.1%,2.8%,64.2%,71.9%,53.4%,65.3%,36.8%,51.5%,1.06
Quarter-finals,8,3,5,37.5%,9-12,42.9%,95-107,47.0%,2-1,66.7%,8,72.7%,21.0%,3.0%,2.0%,67.3%,65.2%,45.9%,58.9%,35.6%,47.8%,0.87
vs Righties,115,48,67,41.7%,122-169,41.9%,1359-1541,46.9%,30-30,50.0%,114,73.6%,19.9%,4.8%,2.8%,65.5%,66.8%,49.0%,60.7%,35.8%,48.5%,0.91
vs Lefties,10,5,5,50.0%,13-14,48.1%,128-139,47.9%,4-4,50.0%,9,73.1%,24.2%,4.1%,2.3%,65.1%,65.6%,52.0%,60.9%,38.3%,49.6%,0.98
vs Top 10,17,3,14,17.6%,10-39,20.4%,187-285,39.6%,4-5,44.4%,17,67.9%,10.4%,4.2%,2.7%,64.7%,63.1%,47.2%,57.5%,31.3%,45.3%,0.74
