Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,14,3,11,21.4%,3,2,1,66.7%,2009,2019,R64,10,0.81,2.5%,3.5%,63.2%,55.7%,43.0%,51.0%,39.8%,52.0%,40.0%
Roland Garros,8,Clay,20,11,9,55.0%,3,2,1,66.7%,2009,2017,R32,13,1.01,2.5%,2.5%,60.3%,61.2%,47.7%,55.8%,44.5%,62.8%,45.1%
Wimbledon,9,Grass,16,7,9,43.8%,2,1,1,50.0%,2009,2018,R64,8,0.90,2.2%,4.7%,59.9%,64.9%,38.3%,54.2%,41.3%,51.3%,43.5%
US Open,11,Hard,21,10,11,47.6%,7,5,2,71.4%,2008,2018,R32,15,1.05,2.4%,4.9%,54.3%,66.4%,50.9%,59.3%,42.9%,48.4%,49.1%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2012,2012,R64,1,0.34,1.5%,3.1%,50.8%,57.6%,37.5%,47.7%,17.9%,63.6%,0
Fed Cup,6,,13,4,9,30.8%,2,1,1,50.0%,2012,2019,,2,0.71,1.9%,0.9%,67.9%,40.3%,44.1%,41.5%,41.6%,45.8%,54.5%
Madrid,9,Clay,13,4,9,30.8%,4,1,3,25.0%,2009,2018,R32,13,0.88,1.3%,2.1%,66.1%,60.3%,50.3%,56.9%,38.1%,56.7%,28.6%
Acapulco,6,Hard,13,7,6,53.8%,2,1,1,50.0%,2009,2016,SF,12,1.13,1.1%,5.4%,60.5%,65.6%,45.8%,57.8%,47.7%,44.8%,48.9%
Auckland,5,Hard,12,6,6,50.0%,2,1,1,50.0%,2011,2018,R32,10,0.91,2.0%,3.5%,65.1%,63.9%,42.9%,56.6%,39.4%,52.4%,52.2%
Charleston,6,Clay,11,5,6,45.5%,5,3,2,60.0%,2013,2019,R32,11,0.94,1.0%,2.4%,67.4%,58.4%,49.8%,55.6%,41.9%,46.5%,41.1%
Bogota,5,Clay,12,7,5,58.3%,3,1,2,33.3%,2009,2017,F,10,1.03,2.3%,5.8%,65.5%,63.8%,48.4%,58.5%,42.8%,59.3%,43.4%
Bastad,5,Clay,11,6,5,54.5%,1,0,1,0.0%,2012,2017,SF,11,1.02,1.4%,4.1%,60.7%,63.0%,46.6%,56.5%,44.2%,43.0%,44.9%
