Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2019,4,2,2,50.0%,6-5,54.5%,54-54,50.0%,0-0,-,0,,,,,,,,,,,,QF (W60 Burnie)
2018,27,17,10,63.0%,36-26,58.1%,305-257,54.3%,1-3,25.0%,3,48.3%,41.9%,0.5%,4.1%,63.5%,52.0%,44.4%,49.2%,46.6%,47.9%,0.92,SF (3x)
2017,29,15,14,51.7%,33-32,50.8%,281-285,49.6%,1-1,50.0%,0,,,,,,,,,,,,SF (2x)
2016,26,15,11,57.7%,32-26,55.2%,267-243,52.4%,3-4,42.9%,1,33.3%,40.0%,1.6%,8.2%,54.1%,57.6%,25.0%,42.6%,44.2%,43.5%,0.77,W (Rome $50K)
2015,15,6,9,40.0%,15-21,41.7%,160-178,47.3%,1-2,33.3%,0,,,,,,,,,,,,F (Montpellier $50K)
2014,1,0,1,0.0%,0-2,0.0%,8-13,38.1%,0-1,0.0%,0,,,,,,,,,,,,R32 (Prague 100K)
2013,4,3,1,75.0%,6-3,66.7%,39-34,53.4%,0-0,-,0,,,,,,,,,,,,SF (Limoges 50K)
2011,19,12,7,63.2%,25-15,62.5%,207-169,55.1%,3-2,60.0%,0,,,,,,,,,,,,W (Sofia 100K)
2010,34,20,14,58.8%,45-29,60.8%,374-294,56.0%,3-5,37.5%,0,,,,,,,,,,,,W (Getxo 25K)
2009,31,19,12,61.3%,42-28,60.0%,338-308,52.3%,6-2,75.0%,0,,,,,,,,,,,,W (Madrid 25K)
2008,42,24,18,57.1%,51-41,55.4%,425-392,52.0%,1-6,14.3%,0,,,,,,,,,,,,F (Vigo 25K)
2007,44,22,22,50.0%,50-53,48.5%,479-461,51.0%,3-6,33.3%,0,,,,,,,,,,,,W (Beloura-Sintra 25K)
2006,17,4,13,23.5%,12-27,30.8%,159-200,44.3%,0-3,0.0%,0,,,,,,,,,,,,SF (Madrid 25K)
2005,26,13,13,50.0%,29-27,51.8%,262-235,52.7%,2-2,50.0%,0,,,,,,,,,,,,SF (Getxo 10K)
2004,18,10,8,55.6%,20-17,54.1%,168-148,53.2%,2-1,66.7%,0,,,,,,,,,,,,SF (Evora 10K)
2003,5,0,5,0.0%,2-10,16.7%,43-66,39.4%,0-1,0.0%,0,,,,,,,,,,,,R32 (5x)
Career,342,182,160,53.2%,404-362,52.7%,3569-3337,51.7%,26-39,40.0%,4,44.7%,41.5%,0.8%,5.0%,61.2%,53.2%,39.0%,47.7%,45.9%,46.8%,0.88,
