Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Linz R32,L vs Tauson,57.4%,32.3%,13.0%,1/6,2.81,22.7%,53.1%,23.5%,6.3%,2.72,36.0%,77.8%,42.9%,27.8%,2.93,5.3%
2024 Cincinnati R64,L vs Wozniacki,61.5%,52.5%,7.7%,3/2,2.44,4.8%,52.8%,52.6%,5.6%,2.28,7.1%,84.0%,52.4%,12.0%,2.76,0.0%
2024 Rouen QF,W vs Andreeva,82.8%,68.8%,3.4%,0/2,2.13,6.1%,82.6%,71.1%,0.0%,2.21,11.1%,83.3%,60.0%,16.7%,2.04,0.0%
2024 Miami R32,W vs Sabalenka,71.1%,57.4%,10.5%,1/7,2.20,7.4%,70.0%,54.3%,2.0%,2.21,5.3%,95.0%,63.2%,35.0%,2.19,12.5%
2024 Miami R64,W vs Wozniacki,79.2%,52.4%,7.7%,7/3,2.43,3.1%,82.9%,54.4%,7.3%,2.46,4.3%,85.4%,48.6%,9.8%,2.35,0.0%
2024 Australian Open R128,L vs Rus,75.0%,46.7%,5.0%,2/2,2.53,0.0%,81.8%,48.9%,1.8%,2.56,0.0%,71.4%,40.0%,14.3%,2.50,0.0%
2023 Guadalajara R32,L vs Kenin,65.8%,54.2%,12.3%,4/5,2.63,2.6%,64.3%,52.8%,10.7%,2.45,4.3%,85.7%,58.3%,21.4%,2.89,0.0%
2023 US Open R128,L vs Sorribes Tormo,85.5%,54.2%,0.0%,0/0,2.27,1.9%,95.1%,53.8%,0.0%,2.21,2.6%,87.0%,55.0%,0.0%,2.41,0.0%
2023 Wimbledon R64,L vs Andreescu,71.4%,44.0%,7.6%,7/1,2.54,7.3%,70.5%,39.5%,1.6%,2.30,14.3%,86.5%,50.0%,18.9%,2.79,0.0%
2023 Roland Garros R128,L vs Parry,88.0%,31.8%,14.0%,4/3,2.51,34.9%,84.8%,28.6%,12.1%,2.30,42.4%,94.1%,37.5%,17.6%,3.19,10.0%
2023 Rome F,L vs Rybakina,71.1%,40.7%,18.4%,1/6,2.67,3.0%,59.1%,15.4%,13.6%,2.84,7.7%,93.3%,64.3%,26.7%,2.57,0.0%
2023 Rome SF,W vs Kudermetova,71.0%,54.9%,4.0%,0/4,2.64,7.6%,71.6%,45.8%,1.5%,2.64,13.3%,74.2%,73.9%,9.7%,2.62,0.0%
2023 Rome QF,W vs Haddad Maia,83.3%,55.2%,3.2%,1/2,2.55,1.1%,84.0%,52.9%,0.0%,2.48,1.7%,88.1%,59.5%,9.5%,2.70,0.0%
2023 Linz R16,L vs Friedsam,76.5%,57.7%,5.9%,0/4,2.14,17.0%,77.8%,54.8%,3.7%,2.08,22.6%,76.9%,70.0%,15.4%,2.22,9.1%
2023 Australian Open R64,W vs Kvitova,77.4%,49.2%,6.0%,2/3,2.65,2.2%,75.0%,43.6%,3.8%,2.75,3.8%,92.9%,57.7%,10.7%,2.52,0.0%
2022 Angers R16,W vs Kenin,74.4%,63.9%,6.1%,3/2,2.61,19.4%,77.8%,71.4%,6.3%,2.53,26.1%,63.2%,33.3%,5.3%,2.81,0.0%
2022 San Jose R32,L vs Gauff,58.1%,28.0%,2.3%,0/1,2.01,3.3%,64.3%,16.7%,3.6%,1.85,0.0%,70.0%,57.1%,0.0%,2.38,11.1%
2022 Madrid QF,L vs Teichmann,65.6%,57.5%,3.3%,2/0,2.72,0.0%,65.0%,53.8%,2.5%,2.67,0.0%,73.7%,64.3%,5.3%,2.83,0.0%
2022 Charleston QF,L vs Jabeur,64.9%,48.6%,5.3%,1/2,2.49,15.4%,58.3%,33.3%,5.6%,2.58,24.0%,88.9%,68.8%,5.6%,2.34,0.0%
2022 Indian Wells R64,L vs Swiatek,74.4%,54.7%,5.8%,3/2,2.46,0.0%,70.0%,45.7%,2.0%,2.32,0.0%,87.9%,65.5%,12.1%,2.70,0.0%
Career (27 matches),,74.0%,51.4%,5.8%,43.6%,2.48,6.4%,74.0%,49.8%,3.8%,2.46,9.2%,84.2%,54.2%,10.8%,2.53,1.6%
