Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,113,49,64,43.4%,111-140,44.2%,1092-1198,47.7%,9-13,40.9%,109,61.4%,34.3%,2.8%,6.0%,61.9%,61.5%,43.6%,54.7%,43.5%,49.1%,0.96
Clay,55,31,24,56.4%,65-54,54.6%,570-558,50.5%,5-8,38.5%,54,61.7%,40.1%,1.7%,3.8%,66.5%,59.5%,45.6%,54.8%,45.8%,50.3%,1.01
Grass,21,10,11,47.6%,22-26,45.8%,206-233,46.9%,0-2,0.0%,21,65.1%,30.0%,2.7%,6.9%,58.4%,66.1%,44.0%,56.9%,41.1%,48.8%,0.95
Grand Slams,30,11,19,36.7%,25-39,39.1%,263-316,45.4%,1-3,25.0%,29,58.2%,32.9%,2.6%,5.2%,63.3%,59.9%,42.8%,53.6%,43.4%,48.3%,0.94
Premiers,68,32,36,47.1%,69-82,45.7%,658-727,47.5%,6-10,37.5%,67,62.0%,33.8%,2.5%,5.9%,62.1%,61.8%,43.5%,54.9%,43.0%,49.0%,0.95
Internationals,62,34,28,54.8%,76-61,55.5%,646-614,51.3%,4-5,44.4%,59,62.7%,40.5%,2.2%,5.5%,62.6%,62.0%,45.1%,55.7%,45.9%,50.7%,1.04
Finals,2,0,2,0.0%,0-3,0.0%,8-18,30.8%,0-0,-,2,50.0%,14.3%,2.3%,1.2%,61.6%,52.8%,36.4%,46.5%,34.8%,40.4%,0.65
Semi-finals,6,2,4,33.3%,4-9,30.8%,58-74,43.9%,1-2,33.3%,6,69.7%,22.1%,1.9%,4.2%,59.9%,65.9%,47.4%,58.5%,37.7%,48.1%,0.91
Quarter-finals,15,6,9,40.0%,16-22,42.1%,161-192,45.6%,2-2,50.0%,15,59.3%,32.2%,2.8%,5.6%,60.9%,60.7%,42.5%,53.6%,43.2%,48.4%,0.93
vs Righties,166,73,93,44.0%,164-203,44.7%,1605-1777,47.5%,13-20,39.4%,162,61.5%,33.9%,2.4%,5.4%,63.0%,61.3%,43.7%,54.8%,43.4%,49.0%,0.96
vs Lefties,23,17,6,73.9%,34-17,66.7%,263-212,55.4%,1-3,25.0%,22,64.8%,46.6%,2.7%,5.4%,62.1%,62.0%,47.2%,56.4%,48.1%,52.1%,1.10
vs Top 10,15,5,10,33.3%,14-23,37.8%,151-187,44.7%,1-2,33.3%,15,58.3%,31.4%,2.1%,6.3%,57.5%,60.2%,43.3%,53.1%,41.9%,47.6%,0.89
