Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2018 US Open R32,L vs Sevastova,27,43,0.6,16.5%,26.2%,27,40,0.7,17.5%,26.0%,12.3%,5.2%,1.2,16.5%,14.0%
2018 US Open R64,W vs Goerges,20,14,1.4,14.0%,9.8%,12,11,1.1,9.5%,8.7%,5.6%,1.6%,0.8,15.4%,20.3%
2018 Wimbledon R16,L vs Giorgi,12,16,0.8,9.3%,12.4%,5,12,0.4,4.7%,11.3%,2.8%,1.9%,0.9,16.3%,17.8%
2018 Wimbledon R32,W vs Safarova,34,14,2.4,20.1%,8.3%,26,11,2.4,17.4%,7.4%,8.1%,8.7%,1.5,17.8%,11.8%
2018 Wimbledon R64,W vs Wozniacki,46,37,1.2,24.9%,20.0%,39,35,1.1,23.1%,20.7%,11.8%,10.1%,1.0,12.4%,11.9%
2018 Wimbledon R128,W vs Martic,34,25,1.4,18.6%,13.7%,32,18,1.8,20.1%,11.3%,10.1%,10.1%,1.7,16.4%,9.8%
2017 US Open R64,W vs Wozniacki,52,38,1.4,28.6%,20.9%,49,35,1.4,29.0%,20.7%,17.2%,11.8%,0.8,9.9%,12.1%
2017 US Open R128,W vs Barthel,12,9,1.3,11.8%,8.8%,12,9,1.3,12.8%,9.6%,5.3%,6.4%,0.7,20.6%,31.4%
2017 Wimbledon R64,L vs Kuznetsova,21,21,1.0,18.6%,18.6%,19,16,1.2,19.4%,16.3%,16.3%,3.1%,2.7,23.9%,8.8%
2017 Wimbledon R128,W vs Van Uytvanck,13,14,0.9,14.1%,15.2%,11,11,1.0,13.1%,13.1%,7.1%,6.0%,0.3,8.7%,26.1%
2017 Roland Garros R64,L vs Tsurenko,10,27,0.4,10.5%,28.4%,10,25,0.4,11.0%,27.5%,8.8%,2.2%,1.2,17.9%,14.7%
2017 Roland Garros R128,W vs Kerber,27,19,1.4,21.3%,15.0%,24,17,1.4,20.3%,14.4%,14.4%,5.9%,0.6,12.6%,19.7%
2017 Australian Open R16,L vs Konta,12,20,0.6,12.1%,20.2%,11,16,0.7,13.3%,19.3%,9.6%,3.6%,1.6,21.2%,13.1%
2017 Australian Open R32,W vs Cibulkova,35,43,0.8,16.5%,20.3%,30,39,0.8,15.1%,19.6%,6.5%,7.5%,0.6,14.2%,25.0%
2017 Australian Open R64,W vs Errani,27,29,0.9,27.0%,29.0%,25,27,0.9,26.3%,28.4%,12.6%,13.7%,0.4,8.0%,18.0%
2017 Australian Open R128,W vs Alexandrova,20,11,1.8,14.3%,7.9%,11,9,1.2,10.0%,8.2%,0.9%,7.3%,0.8,20.0%,26.4%
2016 US Open R128,L vs Williams,10,19,0.5,9.7%,18.4%,6,14,0.4,7.4%,17.3%,2.5%,4.9%,1.2,26.2%,21.4%
2016 Wimbledon R16,L vs Vesnina,31,24,1.3,13.5%,10.4%,28,19,1.5,13.1%,8.9%,7.5%,5.6%,1.7,22.6%,13.0%
2016 Wimbledon R32,W vs Strycova,24,18,1.3,19.8%,14.9%,21,18,1.2,18.1%,15.5%,10.3%,7.8%,1.1,10.7%,9.9%
2016 Wimbledon R64,W vs Kvitova,12,17,0.7,6.9%,9.7%,12,11,1.1,7.5%,6.9%,2.5%,3.8%,0.6,14.9%,24.6%
Career (77 matches),,1682,1727,1.0,16.2%,16.6%,1479,1555,1.0,15.5%,16.3%,6.2%,4.8%,0.8,16.0%,19.8%
