Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2021 Roland Garros R128,L vs Federer,15,10,1.5,9.9%,6.6%,15,10,1.5,10.9%,7.3%,,,2.0,26.3%,13.2%
2020 Columbus CH QF,W vs Vukic,23,11,2.1,21.3%,10.2%,17,8,2.1,18.7%,8.8%,9.9%,7.7%,1.2,22.2%,18.5%
2019 Gstaad R32,W vs Huesler,18,18,1.0,12.8%,12.8%,13,16,0.8,10.2%,12.6%,8.7%,1.6%,0.8,18.4%,22.0%
2019 Wimbledon R128,L vs Norrie,27,44,0.6,12.6%,20.6%,23,39,0.6,11.8%,20.0%,8.7%,3.1%,1.1,20.1%,18.2%
2019 Indian Wells Masters R128,L vs Haase,20,23,0.9,16.8%,19.3%,14,21,0.7,13.7%,20.6%,9.8%,3.9%,1.6,22.7%,14.3%
2018 Kitzbuhel F,L vs Klizan,10,14,0.7,10.9%,15.2%,6,13,0.5,7.2%,15.7%,6.0%,1.2%,2.0,26.1%,13.0%
2018 Wimbledon R128,L vs Kyrgios,31,8,3.9,11.5%,3.0%,25,6,4.2,11.7%,2.8%,6.1%,4.7%,3.3,28.9%,8.9%
2018 Roland Garros R128,L vs Bautista Agut,42,46,0.9,14.6%,16.0%,42,46,0.9,15.8%,17.3%,,,0.8,14.2%,17.0%
2018 Australian Open R64,L vs Edmund,9,18,0.5,6.3%,12.6%,9,18,0.5,7.0%,14.0%,,,1.5,20.3%,13.3%
2018 Australian Open R128,W vs Herbert,32,23,1.4,12.5%,8.9%,32,23,1.4,13.9%,10.0%,,,1.1,17.1%,16.0%
2017 Chengdu F,W vs Baghdatis,9,4,2.3,28.1%,12.5%,6,4,1.5,23.1%,15.4%,15.4%,7.7%,0.4,6.3%,15.6%
2017 Wimbledon R128,L vs Young,34,25,1.4,16.0%,11.8%,27,24,1.1,13.9%,12.4%,7.7%,4.1%,1.2,18.4%,15.6%
2017 Roland Garros R64,L vs Chung,21,26,0.8,13.5%,16.8%,17,22,0.8,12.0%,15.5%,9.2%,1.4%,2.1,25.2%,12.3%
2017 Roland Garros R128,W vs Escobedo,40,23,1.7,21.5%,12.4%,29,22,1.3,17.5%,13.3%,9.0%,7.2%,1.0,15.6%,15.6%
2017 Australian Open R16,L vs Dimitrov,27,38,0.7,13.4%,18.8%,13,37,0.4,7.3%,20.7%,5.0%,1.7%,1.4,18.3%,13.4%
2017 Australian Open R32,W vs Carreno Busta,51,53,1.0,17.5%,18.2%,35,51,0.7,13.3%,19.3%,6.8%,5.3%,0.8,16.4%,21.2%
2017 Australian Open R64,W vs Djokovic,63,61,1.0,16.6%,16.1%,46,58,0.8,13.7%,17.3%,9.8%,3.6%,0.9,17.9%,19.0%
2017 Australian Open R128,W vs Dodig,45,39,1.2,19.4%,16.8%,31,37,0.8,15.7%,18.7%,10.1%,2.0%,0.7,12.9%,19.0%
2016 US Open R128,L vs Nadal,19,39,0.5,12.1%,24.8%,16,32,0.5,11.3%,22.5%,5.6%,4.2%,0.8,13.4%,17.2%
2016 Wimbledon R32,L vs Goffin,30,27,1.1,13.5%,12.1%,20,26,0.8,10.1%,13.1%,5.5%,3.5%,1.6,14.8%,9.4%
Career (54 matches),,1724,1618,1.1,16.2%,15.2%,1272,1519,0.8,13.4%,16.0%,5.7%,2.9%,1.1,17.2%,15.1%
