Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2021 Roland Garros R128,L vs Federer,0.0%,-,8.6%,53.8%,19.4%,22.7%,0.0%,5.6%,9.1%,1.5%,0.0%,-89,-67
2020 Columbus CH QF,W vs Vukic,0.0%,-,7.4%,100.0%,25.9%,50.0%,100.0%,20.0%,30.0%,0.0%,-,-38,24
2019 Gstaad R32,W vs Huesler,0.0%,-,4.3%,66.7%,18.0%,20.8%,13.3%,4.3%,0.0%,0.0%,-,-41,-8
2019 Indian Wells R128,L vs Haase,0.0%,-,18.5%,54.5%,8.8%,26.3%,0.0%,4.9%,16.7%,0.0%,-,-76,-52
2018 Kitzbuhel F,L vs Klizan,5.1%,100.0%,8.7%,62.5%,12.2%,9.1%,25.0%,2.9%,20.0%,0.7%,0.0%,-73,-37
2017 Chengdu F,W vs Baghdatis,0.0%,-,6.3%,100.0%,18.8%,14.3%,100.0%,10.5%,25.0%,3.8%,50.0%,32,29
2017 Australian Open R64,W vs Djokovic,0.6%,100.0%,6.1%,65.2%,11.6%,14.0%,42.9%,7.1%,17.5%,0.4%,0.0%,-81,-74
2015 Tashkent CH R32,W vs Ignatik,0.0%,-,3.4%,60.0%,16.7%,6.7%,100.0%,12.5%,28.6%,0.0%,-,11,83
2015 Bastad R32,W vs Schwartzman,1.8%,100.0%,12.4%,66.7%,10.3%,16.7%,20.0%,2.5%,15.8%,0.7%,50.0%,-71,-20
2015 Nottingham F,W vs Querrey,0.0%,-,6.7%,75.0%,20.5%,28.0%,0.0%,8.9%,21.4%,1.3%,33.3%,0,3
2015 Nottingham QF,W vs Mayer,0.0%,-,2.7%,50.0%,19.4%,36.7%,0.0%,5.6%,17.4%,1.5%,50.0%,-49,6
2015 Istanbul R16,L vs Bellucci,2.9%,100.0%,5.8%,87.5%,12.2%,19.0%,13.3%,8.0%,5.3%,1.7%,75.0%,-22,-49
2014 Miami R32,L vs Nadal,0.0%,-,6.3%,40.0%,11.3%,26.3%,0.0%,3.8%,9.1%,1.3%,0.0%,-59,-56
2013 US Open R16,L vs Murray,0.0%,-,8.6%,57.1%,7.5%,18.4%,100.0%,3.0%,2.9%,0.9%,40.0%,-51,-47
2012 Olympics R16,L vs Federer,1.9%,100.0%,4.7%,66.7%,8.8%,8.7%,0.0%,4.5%,4.5%,0.5%,0.0%,-91,-62
2006 Australian Open R128,L vs Federer,8.0%,83.3%,12.7%,68.4%,6.6%,8.3%,0.0%,12.5%,16.7%,0.0%,-,69,68
Career (16 matches),,1.2%,92.3%,7.4%,64.8%,13.0%,19.7%,19.4%,6.3%,14.2%,0.7%,33.3%,-50,-28
