Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,5,5,0,100.0%,10-1,90.9%,67-33,67.0%,1-1,50.0%,5,70.0%,64.6%,2.8%,4.6%,70.2%,65.1%,46.4%,59.5%,57.6%,58.6%,1.42,W (W15 Nagpur)
2025,35,19,16,54.3%,44-37,54.3%,384-369,51.0%,5-1,83.3%,34,53.7%,48.8%,0.3%,4.1%,74.5%,54.4%,44.2%,51.8%,49.5%,50.7%,1.03,W (W15 Kursumlijska Banja)
2024,64,40,24,62.5%,81-58,58.3%,658-586,52.9%,4-1,80.0%,1,50.0%,11.1%,0.0%,2.9%,81.2%,50.0%,46.2%,49.3%,28.6%,40.7%,0.56,W (W15 Kursumlijska Banja)
2023,47,25,22,53.2%,57-53,51.8%,509-501,50.4%,7-4,63.6%,1,33.3%,30.0%,3.8%,5.8%,61.5%,43.8%,35.0%,40.4%,40.6%,40.5%,0.68,W (2x)
2022,34,17,17,50.0%,41-41,50.0%,370-354,51.1%,1-3,25.0%,0,,,,,,,,,,,,F (2x)
2021,49,30,19,61.2%,67-47,58.8%,557-479,53.8%,3-7,30.0%,0,,,,,,,,,,,,W (W15 Shymkent)
2020,29,17,12,58.6%,34-30,53.1%,317-292,52.1%,3-3,50.0%,0,,,,,,,,,,,,SF (4x)
2019,51,30,21,58.8%,59-47,55.7%,499-464,51.8%,6-3,66.7%,0,,,,,,,,,,,,W (2x)
2018,29,13,16,44.8%,29-35,45.3%,301-304,49.8%,2-7,22.2%,0,,,,,,,,,,,,F (Shymkent $15K)
2017,14,5,9,35.7%,12-20,37.5%,132-167,44.1%,3-1,75.0%,0,,,,,,,,,,,,SF (Shymkent $15K)
2016,5,1,4,20.0%,3-9,25.0%,35-67,34.3%,1-0,100.0%,0,,,,,,,,,,,,R16 (Shymkent $10K)
2015,4,2,2,50.0%,4-4,50.0%,41-38,51.9%,0-0,-,0,,,,,,,,,,,,QF (Shymkent $10K)
Career,366,204,162,55.7%,441-382,53.6%,3870-3654,51.4%,36-31,53.7%,41,55.2%,49.3%,0.6%,4.1%,74.0%,55.3%,44.3%,52.4%,49.8%,51.1%,1.05,
