Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2019 W80 Nur Sultan R16,L vs Bouzkova,0.97,0.32,28.6,2.1,-,25.0%,-,47.6%,35.3%,6.3%
2019 W15 Heraklion R16,L vs Oliynykova,0.84,0.78,55.2,3.3,-,48.6%,-,54.3%,39.5%,51.4%
2019 W15 Heraklion R16,L vs Astakhova,1.08,0.86,63.7,4.7,-,44.4%,-,45.1%,41.2%,46.9%
2019 W15 Heraklion R32,W vs Biran,1.23,1.28,52.4,3.0,-,63.4%,-,46.2%,31.7%,63.2%
2019 W15 Heraklion R16,L vs Vukovic,0.88,0.65,39.8,2.0,-,51.6%,-,41.4%,34.3%,45.2%
2019 W15 Heraklion R32,W vs Saar,1.03,1.63,41.2,2.1,0.0%,59.1%,0.0%,65.0%,63.3%,57.1%
2019 W15 Tbilisi R16,L vs Mtsentlitze,0.80,0.63,31.2,2.1,0.0%,34.2%,0.0%,52.9%,40.0%,50.0%
2019 W15 Shymkent R32,W vs Kalinina,1.05,1.27,64.5,3.0,2.4%,53.7%,0.0%,56.8%,56.4%,51.5%
2019 W15 Sharm El Sheikh R32,L vs Miklova,0.89,0.72,52.2,2.6,0.0%,45.7%,0.0%,67.6%,33.3%,37.5%
2019 W15 Sharm El Sheikh R16,L vs Soylu,0.89,0.39,29.7,2.2,0.0%,36.8%,0.0%,29.4%,22.7%,36.4%
2019 W15 Sharm El Sheikh R32,W vs Kalaitzis,0.96,2.28,32.4,2.0,4.8%,71.4%,5.0%,80.0%,46.4%,70.4%
2019 W15 Sharm El Sheikh R16,L vs Gilchrist,0.92,0.69,51.6,2.3,0.0%,59.5%,0.0%,45.5%,50.0%,19.2%
2019 W15 Sharm El Sheikh R32,W vs Kuzmova,1.12,1.67,48.9,2.1,3.6%,67.9%,12.0%,76.0%,25.8%,61.5%
2019 W15 Shymkent R32,L vs Kruzhkova,0.83,0.57,41.8,2.1,-,65.4%,-,40.0%,50.0%,13.0%
2019 W15 Antalya QF,L vs Chernyshova,0.98,0.59,38.6,2.4,-,41.9%,-,45.2%,52.0%,16.0%
2019 W15 Antalya R16,W vs Morisaki,1.10,1.34,50.3,2.2,0.0%,51.2%,4.8%,64.3%,51.5%,51.7%
2019 W15 Antalya R32,W vs Anil,1.02,1.64,43.5,2.1,3.0%,60.6%,0.0%,53.1%,78.3%,57.9%
2019 W15 Antalya QF,L vs Cao,0.90,0.77,49.1,2.8,0.0%,47.7%,0.0%,51.2%,36.8%,51.6%
2019 W15 Antalya R32,W vs Miklova,1.05,1.51,51.9,2.3,0.0%,56.7%,0.0%,76.0%,47.2%,52.9%
2017 Antalya $15K R32,L vs Chernyshova,0.74,0.43,28.4,2.1,-,52.0%,-,39.1%,30.4%,33.3%
2019 (19 matches),,0.98,0.93,47.5,2.4,0.6%,51.5%,1.0%,54.1%,43.5%,46.1%
2017 (4 matches),,1.11,0.98,46.5,2.8,0.7%,47.8%,0.0%,47.9%,45.5%,46.4%
2015 (1 matches),,1.02,1.18,61.9,2.1,3.0%,57.6%,0.0%,41.4%,47.4%,67.6%
Career (24 matches),,1.01,0.95,48.0,2.4,0.7%,51.1%,0.8%,52.6%,44.0%,47.2%
