Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2018 St Petersburg R32,W vs Basic,73.3%,49.1%,1.3%,0/1,2.36,18.4%,68.3%,50.0%,0.0%,2.43,22.7%,84.4%,48.1%,3.1%,2.25,12.5%
2017 US Open R64,L vs Federer,68.6%,44.8%,6.4%,6/3,2.19,37.8%,64.0%,32.7%,3.5%,2.10,43.2%,78.8%,61.0%,11.5%,2.34,28.3%
2016 St Petersburg R16,W vs Raonic,55.3%,56.1%,3.9%,3/1,2.10,7.1%,53.1%,50.0%,0.0%,2.09,12.5%,74.2%,65.2%,12.9%,2.10,0.0%
2016 St Petersburg R32,W vs Tipsarevic,70.6%,54.2%,1.5%,1/0,2.35,7.1%,65.9%,48.1%,2.4%,2.32,11.1%,87.5%,61.9%,0.0%,2.40,0.0%
2016 Canada R64,W vs Robert,72.0%,57.4%,0.0%,0/0,2.54,3.4%,70.5%,58.1%,0.0%,2.52,6.7%,82.1%,56.5%,0.0%,2.57,0.0%
2016 Bangkok CH SF,W vs Chiudinelli,70.8%,58.8%,2.8%,1/1,2.38,41.3%,55.0%,54.5%,0.0%,2.02,47.4%,93.5%,62.1%,6.5%,2.65,37.0%
2015 Miami R64,L vs Nishikori,70.2%,36.4%,2.1%,1/0,2.34,23.4%,58.3%,28.6%,4.2%,2.31,27.0%,90.5%,42.1%,0.0%,2.44,10.0%
2015 Australian Open R128,L vs Nadal,63.2%,13.9%,8.8%,4/1,2.37,3.4%,57.1%,20.0%,5.7%,2.35,6.3%,84.2%,6.3%,15.8%,2.38,0.0%
2014 Rome R16,L vs Nadal,75.8%,44.0%,0.0%,0/0,2.10,7.9%,74.7%,35.7%,0.0%,2.07,9.4%,95.0%,68.4%,0.0%,2.18,4.0%
2013 Valencia F,W vs Ferrer,84.7%,48.0%,1.7%,0/1,1.73,9.3%,83.8%,45.2%,0.0%,1.69,16.7%,90.5%,52.6%,4.8%,1.79,0.0%
2013 US Open R16,W vs Hewitt,76.0%,46.8%,2.7%,2/2,1.98,13.8%,71.6%,50.9%,2.7%,2.04,23.0%,92.1%,43.1%,3.2%,1.90,2.1%
2013 Wimbledon R64,W vs Pospisil,57.1%,51.7%,5.1%,4/4,2.32,13.0%,44.3%,37.2%,3.1%,2.33,22.1%,86.8%,65.2%,9.4%,2.31,0.0%
2013 Halle F,L vs Federer,63.9%,37.1%,2.1%,2/0,2.41,37.9%,56.3%,36.1%,1.6%,2.46,41.0%,81.3%,38.5%,3.1%,2.33,33.3%
2012 Wimbledon QF,L vs Federer,69.7%,37.0%,6.1%,2/2,1.76,26.7%,58.5%,20.8%,7.3%,1.73,35.9%,88.0%,54.5%,4.0%,1.81,9.5%
2012 Wimbledon R32,W vs Tipsarevic,66.0%,47.1%,1.9%,0/2,2.17,16.9%,61.2%,41.5%,0.0%,2.07,26.7%,79.4%,55.6%,5.9%,2.31,3.1%
2012 Dubai QF,L vs Federer,53.7%,48.3%,0.0%,0/0,2.15,41.9%,54.8%,52.9%,0.0%,2.33,48.0%,52.2%,41.7%,0.0%,1.92,33.3%
2012 Zagreb F,W vs Lacko,78.0%,56.4%,2.0%,0/1,2.24,6.3%,77.1%,51.9%,2.9%,2.47,11.1%,80.0%,66.7%,0.0%,1.96,0.0%
2011 Wimbledon R16,L vs Federer,57.9%,45.5%,3.5%,1/3,2.37,37.9%,49.3%,28.6%,2.8%,2.34,41.7%,77.5%,64.5%,5.0%,2.41,32.6%
2011 Madrid R64,L vs Del Potro,65.8%,40.4%,3.8%,3/0,2.38,12.3%,57.9%,45.5%,3.5%,2.42,21.2%,100.0%,31.6%,5.3%,2.31,0.0%
2011 Marseille SF,L vs Cilic,64.4%,56.9%,4.4%,1/3,2.19,8.8%,50.0%,58.3%,2.1%,2.40,16.7%,87.2%,55.9%,7.7%,1.96,0.0%
Career (42 matches),,68.1%,47.0%,3.1%,51.3%,2.19,21.0%,62.5%,42.4%,1.8%,2.17,27.3%,85.0%,52.5%,5.4%,2.21,11.5%
