Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2018 St Petersburg R32,W vs Basic,38.6%,42.9%,55.3%,43.6%,48.8%,51.2%,50.0%,57.0%,47.1%,34.6%,33.3%,27.3%,36.4%,62.5%,126
2017 US Open R64,L vs Federer,23.7%,29.9%,44.1%,28.0%,25.7%,33.9%,49.4%,32.6%,32.7%,65.0%,62.5%,23.3%,26.7%,34.8%,99
2016 St Petersburg R16,W vs Raonic,28.5%,38.2%,44.0%,32.7%,32.4%,43.7%,47.9%,39.7%,56.3%,43.6%,40.0%,25.0%,33.3%,38.9%,37
2016 St Petersburg R32,W vs Tipsarevic,23.1%,32.1%,54.4%,29.2%,32.7%,43.6%,56.8%,41.5%,63.0%,53.6%,66.7%,0.0%,5.0%,50.0%,-118
2016 Canada R64,W vs Robert,22.1%,27.9%,51.7%,25.8%,36.2%,44.7%,46.7%,43.0%,22.2%,37.9%,33.3%,6.7%,10.0%,57.1%,-62
2016 Bangkok CH SF,W vs Chiudinelli,28.6%,41.4%,60.4%,37.9%,43.2%,62.2%,71.4%,60.8%,38.5%,41.7%,-,12.9%,19.4%,51.9%,13
2015 Miami R64,L vs Nishikori,18.8%,28.1%,38.3%,24.5%,14.0%,25.6%,37.8%,22.6%,30.0%,47.8%,60.0%,37.5%,43.8%,40.0%,196
2015 Australian Open R128,L vs Nadal,20.0%,29.4%,37.3%,24.2%,25.0%,38.6%,42.4%,33.2%,39.1%,61.9%,60.0%,18.8%,25.0%,30.8%,60
2014 Rome R16,L vs Nadal,10.8%,23.5%,47.2%,19.7%,11.1%,26.4%,46.9%,23.8%,34.3%,56.8%,50.0%,10.7%,17.9%,48.0%,-8
2013 Valencia F,W vs Ferrer,27.4%,37.1%,53.5%,32.4%,36.8%,50.0%,58.3%,45.0%,53.8%,56.0%,50.0%,13.6%,18.2%,47.4%,19
2013 US Open R16,W vs Hewitt,20.7%,29.0%,49.5%,25.3%,28.2%,41.2%,50.8%,36.1%,40.5%,72.1%,50.0%,11.1%,13.0%,47.9%,-8
2013 Wimbledon R64,W vs Pospisil,27.0%,40.5%,60.3%,35.5%,33.0%,49.5%,59.4%,46.5%,49.0%,63.0%,66.7%,17.5%,26.3%,61.7%,-28
2013 Halle F,L vs Federer,28.1%,36.5%,54.5%,32.5%,33.9%,44.1%,56.4%,41.0%,31.8%,43.2%,66.7%,20.6%,26.5%,51.9%,44
2012 Wimbledon QF,L vs Federer,22.0%,29.3%,38.3%,25.2%,26.4%,32.1%,30.8%,31.5%,44.0%,21.4%,37.5%,16.0%,28.0%,52.4%,33
2012 Wimbledon R32,W vs Tipsarevic,24.5%,37.7%,64.9%,32.5%,33.8%,51.5%,73.3%,46.2%,44.1%,61.8%,100.0%,8.6%,14.3%,53.1%,-37
2012 Dubai QF,L vs Federer,31.8%,43.9%,41.9%,36.7%,39.0%,48.8%,24.0%,46.8%,28.6%,70.0%,83.3%,21.7%,39.1%,66.7%,42
2012 Zagreb F,W vs Lacko,31.3%,45.8%,65.6%,39.0%,41.9%,58.1%,50.0%,53.9%,58.3%,36.8%,-,12.5%,25.0%,85.7%,10
2011 Wimbledon R16,L vs Federer,22.1%,30.7%,47.6%,26.6%,31.8%,42.0%,50.0%,39.0%,47.7%,54.5%,50.0%,6.5%,13.0%,44.2%,-55
2011 Madrid R64,L vs Del Potro,21.6%,31.1%,49.1%,28.1%,23.3%,37.2%,54.5%,34.4%,33.3%,57.1%,75.0%,20.0%,23.3%,41.7%,-30
2011 Marseille SF,L vs Cilic,31.0%,35.7%,45.6%,36.2%,44.4%,51.9%,60.0%,52.6%,40.9%,59.4%,80.0%,6.9%,6.9%,29.6%,-45
Career (42 matches),,24.1%,33.6%,51.1%,30.4%,30.3%,42.7%,54.6%,40.4%,44.6%,53.1%,57.4%,16.2%,21.5%,45.8%,45
