Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,212,99,113,46.7%,220-256,46.2%,2101-2279,48.0%,29-28,50.9%,163,61.5%,34.0%,3.1%,4.9%,64.6%,60.7%,45.6%,55.3%,41.8%,48.5%,0.94
Clay,148,79,69,53.4%,169-165,50.6%,1544-1554,49.8%,16-15,51.6%,125,63.2%,37.0%,2.3%,4.8%,64.9%,59.9%,46.9%,55.3%,44.8%,50.1%,1.00
Grass,18,3,15,16.7%,10-31,24.4%,149-233,39.0%,3-3,50.0%,18,52.3%,22.1%,4.2%,5.3%,61.4%,59.4%,44.1%,53.5%,34.7%,44.3%,0.75
Carpet,5,3,2,60.0%,7-5,58.3%,60-47,56.1%,0-0,-,1,-,-,1.6%,4.8%,71.4%,57.8%,33.3%,50.8%,31.3%,42.3%,0.64
Grand Slams,53,16,37,30.2%,38-79,32.5%,456-609,42.8%,5-7,41.7%,46,57.9%,28.8%,2.5%,4.9%,63.8%,59.4%,44.0%,53.9%,39.8%,46.9%,0.86
Premiers,24,9,15,37.5%,24-32,42.9%,240-291,45.2%,6-1,85.7%,24,62.7%,25.4%,3.0%,5.2%,65.5%,61.0%,47.3%,56.3%,40.1%,48.2%,0.92
Internationals,226,116,110,51.3%,250-258,49.2%,2309-2407,49.0%,28-27,50.9%,199,61.0%,37.1%,2.9%,4.9%,64.2%,60.4%,46.0%,55.2%,43.6%,49.4%,0.97
Finals,5,2,3,40.0%,4-6,40.0%,43-56,43.4%,2-0,100.0%,5,71.4%,40.9%,2.3%,4.1%,64.9%,62.1%,43.0%,55.4%,39.8%,47.7%,0.89
Semi-finals,14,5,9,35.7%,10-20,33.3%,125-152,45.1%,0-1,0.0%,13,60.9%,24.6%,1.7%,4.6%,67.1%,56.6%,48.7%,54.0%,42.0%,48.0%,0.91
Quarter-finals,35,14,21,40.0%,30-46,39.5%,301-380,44.2%,2-1,66.7%,29,52.1%,34.3%,3.1%,4.6%,62.5%,57.7%,43.0%,52.2%,43.1%,47.6%,0.90
vs Righties,345,167,178,48.4%,365-408,47.2%,3468-3695,48.4%,44-43,50.6%,273,61.4%,34.5%,2.7%,4.9%,64.6%,60.3%,45.8%,55.2%,42.8%,49.0%,0.96
vs Lefties,34,14,20,41.2%,34-46,42.5%,336-383,46.7%,4-3,57.1%,31,62.7%,33.5%,3.3%,4.9%,63.1%,59.6%,47.6%,55.1%,40.5%,47.9%,0.90
vs Top 10,22,2,20,9.1%,7-41,14.6%,150-285,34.5%,3-5,37.5%,19,51.6%,21.3%,2.6%,5.4%,64.4%,56.9%,38.0%,50.2%,36.6%,43.7%,0.74
