Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2019 s Hertogenbosch R32,L vs Bertens,0.0%,-,12.1%,54.5%,1.8%,4.5%,0.0%,7.1%,14.3%,2.8%,50.0%,-42,-29
2019 Australian Open R64,L vs Wozniacki,3.7%,100.0%,11.5%,83.3%,6.1%,7.7%,0.0%,3.4%,0.0%,1.2%,33.3%,-63,-59
2018 Nurnberg F,W vs Riske Amritraj,0.0%,-,7.6%,75.0%,8.1%,12.9%,33.3%,3.3%,40.0%,0.6%,50.0%,-92,-76
2017 Linz QF,L vs Golubic,4.0%,50.0%,8.2%,55.6%,1.8%,10.0%,0.0%,0.0%,0.0%,1.2%,33.3%,-120,-135
2017 Miami R128,W vs Niculescu,10.5%,50.0%,15.4%,57.9%,11.1%,9.1%,12.0%,3.6%,66.7%,0.0%,-,-52,-51
2016 New Haven R16,W vs Rogers,0.0%,-,4.3%,66.7%,8.7%,18.2%,0.0%,4.4%,25.0%,0.0%,-,-107,-30
2016 Roland Garros R64,L vs Pironkova,1.2%,100.0%,7.5%,75.0%,10.6%,28.6%,0.0%,1.8%,5.3%,2.8%,50.0%,-39,-45
2016 Nurnberg R32,L vs Friedsam,1.5%,0.0%,12.1%,53.3%,6.5%,11.1%,28.6%,5.0%,27.3%,1.0%,66.7%,-81,-80
2016 Istanbul R16,L vs Sevastova,1.5%,0.0%,13.5%,78.9%,7.5%,8.9%,0.0%,2.8%,15.4%,0.3%,0.0%,-105,-105
2016 Hobart SF,L vs Cornet,1.9%,0.0%,5.4%,60.0%,8.6%,26.7%,12.5%,6.1%,27.3%,1.8%,0.0%,-1,-4
2016 Hobart R16,W vs Gasparyan,1.1%,0.0%,4.9%,33.3%,5.1%,21.6%,0.0%,6.1%,33.3%,0.2%,0.0%,-123,-109
2016 Auckland R32,L vs Ostapenko,0.0%,-,2.4%,33.3%,3.6%,14.3%,0.0%,13.3%,60.0%,0.6%,0.0%,-92,-26
2015 Bastad F,W vs Barthel,0.0%,-,4.8%,87.5%,11.2%,29.2%,0.0%,8.1%,17.6%,0.3%,0.0%,-86,-70
2015 Bastad SF,W vs Putintseva,0.0%,-,7.6%,75.0%,8.8%,5.9%,7.7%,3.2%,0.0%,1.3%,0.0%,-64,-23
2015 Eastbourne R64,L vs Vandeweghe,1.0%,0.0%,2.7%,40.0%,5.3%,16.7%,0.0%,5.2%,20.0%,0.0%,-,-79,-37
2015 Australian Open R64,L vs Radwanska,0.0%,-,16.7%,36.4%,0.0%,0.0%,0.0%,3.4%,33.3%,0.7%,0.0%,-41,-50
2013 Bastad F,L vs Williams,0.0%,-,5.2%,16.7%,5.2%,18.2%,0.0%,0.0%,0.0%,0.9%,0.0%,-112,-102
Career (17 matches),,1.5%,43.8%,7.8%,61.2%,7.0%,14.7%,8.4%,4.2%,18.2%,0.9%,32.5%,-81,-65
