Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2023 ITF Leipzig F,L vs Fruhvirtova,15.8%,22.8%,45.5%,21.2%,30.3%,46.2%,33.3%,46.7%,33.3%,10.0%,15.0%,44.4%,0.0%,45.5%,0.0%,-19
2023 Roland Garros Q1,L vs Avanesyan,1.9%,5.7%,44.9%,2.5%,7.5%,41.0%,31.8%,27.8%,40.0%,0.0%,0.0%,60.0%,50.0%,87.5%,100.0%,-119
Career (2 matches),,9.1%,14.5%,45.2%,11.0%,17.8%,43.1%,32.5%,36.4%,37.5%,6.7%,10.0%,50.0%,9.1%,63.2%,50.0%,-55
