Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 US Open R128,L vs Alcaraz,35.2%,48.6%,48.3%,40.2%,50.0%,62.1%,51.5%,57.9%,59.4%,58.8%,60.0%,13.8%,34.5%,44.0%,-2
2025 Cincinnati R64,W vs De Minaur,38.2%,57.9%,61.9%,44.6%,51.2%,63.4%,50.0%,63.2%,60.0%,57.1%,60.0%,26.7%,60.0%,72.7%,133
2025 Washington R32,L vs Medvedev,39.4%,53.5%,43.4%,45.2%,54.5%,70.9%,48.0%,64.9%,76.2%,50.0%,50.0%,24.3%,37.8%,39.3%,107
2025 s Hertogenbosch SF,L vs Bergs,25.0%,38.5%,39.5%,30.8%,32.4%,50.0%,47.8%,41.2%,60.0%,36.8%,50.0%,11.8%,17.6%,26.7%,4
2025 Barcelona R32,L vs Tsitsipas,25.9%,38.9%,32.4%,31.7%,36.4%,51.5%,33.3%,45.8%,72.2%,53.3%,100.0%,11.1%,22.2%,31.3%,-13
2025 Miami R64,W vs Rune,47.3%,57.0%,53.3%,53.1%,56.9%,66.2%,46.4%,65.2%,64.3%,51.4%,-,29.2%,41.7%,64.7%,137
2025 Brisbane F,L vs Lehecka,33.3%,44.4%,16.7%,38.9%,33.3%,44.4%,16.7%,38.9%,100.0%,60.0%,100.0%,-,-,-,0
2025 Brisbane SF,W vs Mpetshi Perricard,45.3%,57.8%,66.7%,52.2%,55.6%,64.4%,65.0%,65.3%,52.6%,38.5%,50.0%,23.5%,47.1%,69.2%,80
2025 Brisbane QF,W vs Djokovic,53.1%,68.8%,58.6%,57.8%,55.1%,67.3%,50.0%,61.2%,61.1%,38.7%,100.0%,50.0%,78.6%,85.7%,22
2024 US Open R128,L vs Musetti,40.7%,54.1%,35.7%,46.2%,55.6%,67.9%,38.9%,64.7%,42.5%,41.5%,0.0%,22.7%,40.9%,32.4%,86
2024 Newport SF,L vs Michelsen,27.1%,33.3%,23.5%,30.6%,34.6%,38.5%,23.5%,41.2%,69.2%,46.2%,50.0%,19.0%,28.6%,23.5%,-10
2022 Washington R16,L vs Kyrgios,32.7%,53.8%,60.0%,38.5%,60.9%,87.0%,77.8%,73.9%,54.5%,33.3%,100.0%,12.5%,33.3%,52.4%,-4
2022 Wimbledon R64,L vs Van Rijthoven,49.0%,61.3%,48.7%,55.4%,55.9%,70.6%,53.3%,65.6%,50.0%,50.0%,100.0%,36.5%,44.2%,42.4%,-51
2022 Queens Club R32,L vs De Minaur,33.3%,47.4%,48.6%,41.8%,37.5%,52.5%,48.0%,49.5%,65.0%,50.0%,0.0%,25.0%,37.5%,50.0%,10
2022 Geneva SF,L vs Ruud,43.7%,59.2%,48.7%,50.3%,45.7%,60.9%,40.0%,55.9%,52.4%,52.0%,-,41.7%,58.3%,64.3%,-19
2022 Rome R64,L vs Wawrinka,45.1%,50.5%,34.8%,47.4%,50.0%,55.2%,37.9%,53.6%,61.9%,59.5%,50.0%,41.4%,48.3%,29.4%,105
2022 Houston F,W vs Isner,31.3%,42.2%,56.1%,37.8%,33.9%,44.1%,61.5%,43.1%,39.1%,44.4%,50.0%,25.0%,37.5%,44.4%,-79
2022 Houston SF,W vs Kyrgios,47.1%,60.8%,63.0%,52.2%,61.3%,74.2%,66.7%,69.7%,46.7%,37.5%,-,25.0%,40.0%,60.0%,-79
2022 Houston QF,W vs Brouwer,33.3%,61.4%,60.5%,42.3%,44.7%,68.4%,66.7%,58.2%,53.3%,30.4%,0.0%,10.5%,47.4%,52.9%,-79
2022 Indian Wells R64,W vs Musetti,48.9%,59.6%,63.6%,53.4%,60.7%,71.4%,54.5%,68.2%,53.8%,40.0%,-,35.3%,47.1%,72.7%,80
Career (67 matches),,44.9%,57.7%,48.2%,50.3%,56.1%,67.9%,49.7%,64.4%,52.1%,44.7%,47.2%,26.1%,42.2%,46.3%,50
