Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 US Open R128,L vs Alcaraz,6.6%,83.3%,11.6%,59.1%,17.4%,23.3%,22.2%,8.1%,18.2%,0.0%,-,148,88
2025 Cincinnati R64,W vs De Minaur,0.0%,-,6.2%,77.8%,22.7%,19.5%,50.0%,31.6%,25.0%,0.0%,-,349,251
2025 Washington R32,L vs Medvedev,18.8%,75.0%,12.6%,68.2%,16.7%,25.0%,0.0%,9.4%,40.0%,1.4%,0.0%,245,124
2025 s Hertogenbosch SF,L vs Bergs,12.2%,50.0%,15.2%,53.3%,20.4%,23.8%,0.0%,6.9%,14.3%,0.8%,0.0%,100,24
2025 Barcelona R32,L vs Tsitsipas,8.0%,25.0%,7.8%,50.0%,15.4%,10.5%,0.0%,5.4%,40.0%,1.6%,50.0%,71,72
2025 Miami R64,W vs Rune,1.4%,100.0%,5.9%,54.5%,18.3%,18.2%,8.3%,15.7%,26.3%,0.5%,100.0%,102,101
2025 Brisbane F,L vs Lehecka,0.0%,-,0.0%,0.0%,15.4%,16.7%,0.0%,0.0%,0.0%,0.0%,-,124,38
2025 Brisbane SF,W vs Mpetshi Perricard,1.9%,0.0%,10.5%,64.3%,18.3%,20.0%,0.0%,18.2%,60.0%,0.0%,-,87,16
2025 Brisbane QF,W vs Djokovic,6.3%,66.7%,5.8%,62.5%,21.5%,28.6%,50.0%,10.9%,27.3%,0.0%,-,81,72
2024 US Open R128,L vs Musetti,40.5%,55.6%,23.7%,59.3%,23.0%,18.2%,20.0%,5.3%,0.0%,0.0%,-,282,278
2024 Newport SF,L vs Michelsen,10.0%,50.0%,10.1%,66.7%,19.4%,18.8%,50.0%,7.4%,0.0%,0.0%,-,146,118
2022 Washington R16,L vs Kyrgios,7.7%,100.0%,7.1%,87.5%,42.9%,78.6%,0.0%,10.5%,66.7%,1.3%,100.0%,185,125
2022 Wimbledon R64,L vs Van Rijthoven,5.9%,50.0%,11.9%,65.7%,16.7%,14.3%,14.3%,18.5%,42.9%,0.0%,-,75,120
2022 Queens Club R32,L vs De Minaur,5.8%,100.0%,19.8%,52.2%,13.2%,6.1%,50.0%,22.2%,50.0%,0.7%,0.0%,152,83
2022 Geneva SF,L vs Ruud,5.1%,66.7%,10.4%,71.4%,18.8%,28.6%,0.0%,3.2%,0.0%,1.4%,50.0%,237,161
2022 Rome R64,L vs Wawrinka,7.8%,33.3%,10.1%,52.6%,10.3%,11.1%,0.0%,5.9%,22.2%,1.7%,75.0%,72,88
2022 Houston F,W vs Isner,2.7%,50.0%,13.8%,57.1%,21.3%,13.6%,0.0%,4.9%,0.0%,3.3%,40.0%,127,84
2022 Houston SF,W vs Kyrgios,0.0%,-,8.3%,66.7%,27.9%,35.3%,100.0%,16.1%,75.0%,0.0%,-,90,109
2022 Houston QF,W vs Brouwer,1.9%,100.0%,11.8%,78.6%,21.6%,27.3%,7.7%,6.1%,0.0%,2.3%,75.0%,71,93
2022 Indian Wells R64,W vs Musetti,5.3%,100.0%,13.4%,84.6%,10.3%,10.5%,50.0%,11.8%,33.3%,0.0%,-,100,159
Career (67 matches),,10.7%,63.8%,11.5%,63.7%,17.4%,20.1%,18.7%,10.3%,22.9%,0.7%,39.2%,95,116
