Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2024 Madrid Q1,W vs Nava,1.19,1.73,39.5,2.4,3.1%,68.8%,3.1%,75.0%,43.3%,37.9%
2023 Basel R32,L vs Stricker,0.78,0.66,43.8,2.3,6.3%,68.8%,3.4%,58.6%,31.6%,29.4%
2019 Meerbusch CH R16,L vs Taberner,1.00,0.63,48.2,3.1,-,62.5%,-,44.4%,30.0%,27.6%
2019 Augsburg CH R32,W vs Rosol,1.46,1.67,43.2,2.8,-,59.4%,-,76.7%,48.1%,22.7%
2019 Tampere CH R32,L vs Coppejans,0.90,0.57,40.9,2.0,-,51.6%,-,55.2%,25.8%,33.3%
2019 Bratislava CH R32,L vs Rola,0.91,0.68,52.6,3.0,-,63.9%,-,54.3%,32.3%,28.6%
2019 Aix En Provence CH R16,W vs Troicki,1.16,1.83,30.2,2.0,4.0%,72.0%,0.0%,59.1%,63.6%,43.8%
2019 Aix En Provence CH R32,W vs Istomin,1.35,2.09,35.1,2.3,3.7%,74.1%,4.2%,75.0%,46.4%,32.0%
2019 Aix En Provence CH R64,W vs Gimeno Traver,1.15,1.52,46.3,2.2,0.0%,50.0%,3.3%,60.0%,59.3%,60.0%
2019 Savannah CH R64,L vs Muller,1.06,0.86,95.5,36.8,8.9%,53.6%,0.0%,63.0%,36.4%,30.6%
2019 Tallahassee CH R64,L vs Kwiatkowski,0.92,0.60,43.6,2.0,7.7%,50.0%,8.7%,52.2%,29.2%,34.8%
2019 Tallahassee CH Q1,W vs Haerteis,0.94,1.92,48.6,2.3,0.0%,78.3%,0.0%,72.7%,32.4%,67.6%
2019 Sarasota CH Q1,L vs Khan,0.83,0.71,53.4,2.4,7.4%,51.9%,8.3%,62.5%,42.9%,30.8%
2019 M15 Rovinj R16,L vs Nagy,0.96,0.79,55.2,2.5,2.2%,48.9%,2.3%,53.5%,45.2%,34.2%
2019 M15 Rovinj R32,W vs Sabanov,1.05,1.33,62.0,4.1,0.0%,57.9%,2.9%,68.6%,47.6%,45.9%
2019 M15 Porec R16,W vs Biljesko,1.29,1.64,54.0,2.1,6.3%,53.1%,0.0%,56.7%,60.7%,53.8%
2019 M15 Porec R32,W vs Heller,1.17,1.14,84.1,30.2,0.0%,54.8%,0.0%,57.4%,47.3%,37.5%
2019 M25 Barnstaple SF,L vs Van Rijthoven,0.77,0.67,43.8,2.1,10.7%,67.9%,3.7%,59.3%,31.6%,31.4%
2019 M25 Barnstaple QF,W vs Doumbia,0.92,1.07,79.3,4.5,3.8%,60.4%,2.1%,53.2%,48.3%,51.9%
2019 M25 Barnstaple R16,W vs Matusevich,1.03,1.24,59.5,26.5,10.0%,72.0%,11.4%,59.1%,36.0%,46.5%
2024 (1 matches),,1.19,1.73,39.5,2.4,3.1%,68.8%,3.1%,75.0%,43.3%,37.9%
2023 (1 matches),,0.78,0.66,43.8,2.3,6.3%,68.8%,3.4%,58.6%,31.6%,29.4%
2019 (27 matches),,1.03,1.06,54.5,2.8,3.7%,61.8%,2.7%,59.6%,40.0%,40.3%
2018 (8 matches),,1.06,1.03,56.1,3.2,5.9%,60.2%,5.1%,59.6%,37.7%,39.9%
2017 (2 matches),,1.01,0.97,60.2,4.2,1.1%,62.1%,1.1%,57.1%,35.5%,42.4%
Career (39 matches),,1.04,1.05,54.7,2.9,4.1%,61.8%,3.2%,59.8%,39.1%,40.0%
