Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),294,175,324,1442,326,1393,236,1457,215,1418,,,,
2025,254,214,307,1461,306,1410,232,1466,206,1427,,,,
2024,218,260,156,1619,139,1585,149,1573,156,1500,247,276,,
2023,151,418,137,1630,133,1576,125,1599,135,1518,,,,
2022,303,170,325,1409,319,1359,277,1417,,,,,,
2021,388,108,,,,,,,,,,,,
2020,369,111,,,,,,,,,1333,12,,
2019,312,128,282,1453,339,1353,207,1473,,,1044,21,,
2018,375,47,302,1403,281,1383,286,1369,,,,,,
2017,580,50,,,,,,,,,,,,
2016,1298,4,,,,,,,,,,,,
2015,1469,3,,,,,,,,,1471,10,,
2014,1598,2,,,,,,,,,,,,
