Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,260,129,131,49.6%,282-289,49.4%,2605-2663,49.4%,27-39,40.9%,13,-,-,1.0%,3.0%,73.1%,59.5%,49.1%,56.7%,48.5%,52.6%,1.12
Clay,292,175,117,59.9%,357-268,57.1%,2988-2655,53.0%,24-24,50.0%,12,-,-,0.8%,3.7%,68.6%,60.6%,48.2%,56.7%,48.2%,52.3%,1.11
Grass,56,29,27,51.8%,66-60,52.4%,577-582,49.8%,7-3,70.0%,8,-,-,1.2%,3.1%,72.8%,57.8%,46.3%,54.7%,45.6%,50.1%,1.01
Carpet,104,58,46,55.8%,129-108,54.4%,1124-1023,52.4%,10-12,45.5%,1,-,-,0.0%,5.0%,63.3%,47.4%,45.5%,46.7%,35.4%,40.8%,0.66
Grand Slams,116,63,53,54.3%,141-118,54.4%,1216-1150,51.4%,7-13,35.0%,29,-,-,0.9%,3.4%,71.4%,59.3%,47.4%,55.9%,47.9%,51.8%,1.08
Premiers,173,90,83,52.0%,200-190,51.3%,1826-1799,50.4%,20-20,50.0%,4,-,-,1.4%,3.2%,71.2%,58.3%,49.2%,55.7%,46.8%,51.2%,1.06
Internationals,86,54,32,62.8%,116-83,58.3%,987-855,53.6%,5-11,31.3%,0,,,,,,,,,,,
Finals,13,3,10,23.1%,9-20,31.0%,119-159,42.8%,0-4,0.0%,0,,,,,,,,,,,
Semi-finals,34,13,21,38.2%,27-46,37.0%,286-359,44.3%,3-4,42.9%,0,,,,,,,,,,,
Quarter-finals,80,34,46,42.5%,79-98,44.6%,750-827,47.6%,7-12,36.8%,2,-,-,2.3%,5.3%,72.2%,63.5%,32.4%,54.9%,31.7%,42.9%,0.70
vs Righties,554,304,250,54.9%,656-564,53.8%,5731-5446,51.3%,53-57,48.2%,34,-,-,1.0%,3.3%,71.4%,59.1%,48.0%,55.9%,47.3%,51.6%,1.07
vs Lefties,50,26,24,52.0%,55-57,49.1%,513-520,49.7%,4-9,30.8%,0,,,,,,,,,,,
vs Top 10,89,12,77,13.5%,36-155,18.8%,598-1075,35.7%,5-7,41.7%,8,-,-,1.4%,3.2%,71.4%,59.0%,43.1%,54.5%,35.4%,45.2%,0.78
