Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2007 Las Vegas RR,L vs Becker,25.9%,37.0%,46.9%,30.9%,42.9%,53.6%,50.0%,52.5%,30.8%,60.0%,33.3%,11.1%,27.8%,43.8%,-2
2004 Roland Garros QF,L vs Nalbandian,18.0%,30.1%,47.2%,24.1%,26.8%,40.8%,55.8%,38.0%,44.4%,52.3%,40.0%,8.5%,18.6%,38.9%,-29
2004 Roland Garros R32,W vs Federer,27.5%,36.3%,56.1%,31.5%,37.5%,47.9%,50.0%,45.2%,44.4%,60.0%,100.0%,16.3%,23.3%,61.1%,-79
2003 Roland Garros R32,W vs Gaudio,20.4%,29.9%,50.9%,23.1%,35.4%,44.6%,64.3%,41.8%,27.6%,55.6%,25.0%,11.4%,22.8%,42.9%,-42
2003 Indian Wells F,L vs Hewitt,12.0%,26.0%,39.5%,19.4%,18.5%,37.0%,45.5%,32.2%,30.8%,78.6%,100.0%,4.5%,13.6%,33.3%,-70
2003 Indian Wells SF,W vs Schuettler,26.6%,41.8%,53.4%,33.8%,42.0%,60.0%,62.1%,53.4%,28.0%,60.0%,50.0%,0.0%,10.3%,44.8%,-118
2002 Lyon QF,W vs Safin,34.7%,47.5%,59.4%,39.4%,48.3%,58.6%,60.0%,56.6%,40.0%,69.7%,100.0%,17.1%,34.1%,58.8%,-9
2002 Costa Do Sauipe F,W vs Coria,26.2%,42.3%,54.8%,34.4%,36.8%,55.9%,69.8%,52.5%,44.8%,59.0%,50.0%,15.3%,28.8%,42.0%,-6
2002 US Open R64,W vs Safin,41.2%,49.5%,55.6%,43.9%,61.8%,69.1%,52.4%,66.5%,37.5%,77.4%,100.0%,15.4%,25.6%,57.6%,29
2002 Roland Garros R32,W vs Gonzalez,37.9%,43.9%,39.7%,42.0%,52.1%,58.9%,45.7%,59.6%,41.7%,54.1%,60.0%,26.7%,33.3%,33.3%,45
2002 Hamburg QF,L vs Federer,15.0%,30.0%,45.5%,24.8%,19.6%,43.1%,48.8%,34.9%,57.1%,80.0%,77.8%,7.4%,7.4%,40.0%,-42
2002 Hamburg R16,W vs Canas,27.9%,39.7%,55.3%,35.7%,20.0%,40.0%,60.7%,35.1%,44.4%,88.2%,100.0%,38.7%,41.9%,47.4%,13
2002 Hamburg R32,W vs Pavel,32.9%,48.6%,53.2%,39.1%,52.8%,63.9%,70.6%,65.0%,57.9%,70.6%,50.0%,11.8%,32.4%,43.3%,-79
2001 Masters Cup RR,L vs Ivanisevic,44.0%,49.5%,46.7%,47.1%,64.7%,66.7%,50.0%,70.4%,59.1%,44.8%,100.0%,20.6%,32.4%,44.4%,74
2001 US Open QF,L vs Kafelnikov,18.4%,32.9%,43.3%,25.1%,23.8%,45.2%,46.9%,36.0%,20.0%,63.6%,66.7%,12.5%,18.8%,39.3%,-79
2001 US Open R32,W vs Mirnyi,40.4%,55.6%,58.7%,47.6%,47.9%,62.2%,64.5%,58.6%,60.4%,46.5%,0.0%,26.3%,43.9%,50.0%,-53
2001 Cincinnati F,W vs Rafter,42.6%,53.2%,50.0%,44.9%,64.0%,68.0%,44.4%,68.4%,30.8%,33.3%,100.0%,23.5%,47.1%,53.8%,5
2001 Cincinnati SF,W vs Henman,29.5%,47.4%,56.6%,35.4%,40.5%,59.5%,72.0%,51.4%,47.6%,76.2%,100.0%,17.6%,35.3%,42.9%,5
2001 Cincinnati R16,W vs Ivanisevic,65.6%,78.1%,63.6%,71.9%,65.2%,82.6%,62.5%,73.9%,54.5%,33.3%,-,66.7%,66.7%,66.7%,-79
2001 Stuttgart F,W vs Canas,28.4%,44.8%,49.4%,33.4%,46.4%,62.5%,56.7%,56.6%,47.8%,66.7%,62.5%,12.3%,29.8%,46.0%,8
Career (73 matches),,28.4%,40.6%,52.1%,34.2%,42.4%,57.1%,58.0%,53.3%,42.3%,60.4%,64.0%,14.4%,24.8%,47.2%,-1
