Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2007 Las Vegas RR,L vs Becker,57.1%,41.7%,1.6%,1/0,2.08,25.8%,44.1%,33.3%,2.9%,2.30,46.7%,84.0%,47.6%,0.0%,1.88,6.3%
2004 Roland Garros QF,L vs Nalbandian,74.4%,45.6%,5.8%,4/3,2.23,21.7%,80.6%,43.1%,4.2%,2.12,42.3%,76.2%,50.0%,9.5%,2.33,1.9%
2004 Roland Garros R32,W vs Federer,68.4%,53.8%,1.1%,1/0,1.86,33.3%,57.6%,50.0%,0.0%,1.90,46.7%,91.2%,58.1%,2.9%,1.83,22.2%
2003 Roland Garros R32,W vs Gaudio,65.4%,48.3%,2.2%,0/3,2.32,15.2%,76.6%,40.7%,0.0%,2.35,40.5%,81.1%,63.3%,8.1%,2.31,0.0%
2003 Indian Wells F,L vs Hewitt,75.0%,33.3%,5.0%,1/1,1.99,19.0%,59.1%,23.1%,0.0%,1.89,38.1%,94.4%,41.2%,11.1%,2.10,0.0%
2003 Indian Wells SF,W vs Schuettler,77.8%,55.6%,3.7%,1/2,2.34,13.8%,76.4%,54.8%,0.0%,2.41,27.6%,91.3%,57.1%,13.0%,2.28,0.0%
2002 Lyon QF,W vs Safin,49.5%,40.0%,7.7%,2/5,2.21,10.9%,37.5%,38.1%,5.4%,2.17,23.3%,72.7%,41.7%,12.1%,2.25,0.0%
2002 Costa Do Sauipe F,W vs Coria,65.2%,50.0%,3.8%,3/2,1.83,6.5%,65.3%,44.9%,2.7%,1.66,9.5%,75.5%,56.8%,6.1%,1.97,4.0%
2002 US Open R64,W vs Safin,69.9%,50.0%,5.8%,2/4,1.98,7.4%,52.5%,53.1%,1.6%,1.76,14.3%,97.6%,47.5%,12.2%,2.12,3.0%
2002 Roland Garros R32,W vs Gonzalez,59.3%,45.2%,12.2%,13/2,2.13,28.8%,63.5%,32.5%,6.3%,2.30,45.5%,89.2%,60.6%,29.7%,1.95,12.1%
2002 Hamburg QF,L vs Federer,66.7%,52.2%,2.9%,0/2,1.95,63.6%,54.3%,57.9%,2.9%,1.85,68.3%,90.0%,48.1%,3.3%,2.10,56.0%
2002 Hamburg R16,W vs Canas,79.1%,47.2%,6.0%,3/1,2.23,19.1%,74.4%,44.8%,5.1%,2.36,32.1%,100.0%,50.0%,8.3%,2.05,0.0%
2002 Hamburg R32,W vs Pavel,80.6%,46.0%,1.6%,1/0,1.86,12.8%,83.0%,46.2%,0.0%,1.88,35.3%,91.7%,45.5%,8.3%,1.85,0.0%
2001 Masters Cup RR,L vs Ivanisevic,46.4%,53.8%,3.6%,0/4,2.17,26.7%,34.4%,45.5%,1.6%,2.08,61.1%,76.9%,60.0%,7.7%,2.22,3.7%
2001 US Open QF,L vs Kafelnikov,57.7%,29.3%,9.9%,3/4,2.34,15.0%,60.0%,23.8%,11.4%,2.13,28.1%,71.4%,35.0%,10.7%,2.59,0.0%
2001 US Open R32,W vs Mirnyi,54.5%,50.0%,6.3%,3/9,2.21,44.2%,49.6%,43.1%,2.3%,2.22,53.2%,70.9%,61.5%,16.4%,2.19,31.0%
2001 Cincinnati F,W vs Rafter,45.8%,68.2%,6.3%,0/3,2.50,85.7%,59.1%,61.5%,0.0%,2.00,100.0%,69.2%,77.8%,23.1%,2.85,76.9%
2001 Cincinnati SF,W vs Henman,64.4%,50.0%,3.4%,1/2,1.78,73.6%,55.4%,48.4%,1.8%,1.64,68.0%,89.3%,52.0%,7.1%,1.91,78.6%
2001 Cincinnati R16,W vs Ivanisevic,50.0%,75.0%,2.1%,0/1,1.82,27.3%,50.0%,54.5%,4.5%,1.69,37.5%,68.4%,92.3%,0.0%,2.17,0.0%
2001 Stuttgart F,W vs Canas,62.7%,61.7%,8.0%,4/2,2.12,9.0%,56.4%,54.5%,5.1%,1.90,24.1%,75.8%,68.0%,12.1%,2.24,0.0%
Career (73 matches),,68.8%,48.4%,3.9%,43.8%,2.15,23.4%,64.9%,45.1%,2.3%,2.10,38.6%,85.7%,52.2%,7.1%,2.20,10.9%
