Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2007 Las Vegas RR,L vs Becker,2.0%,100.0%,6.8%,75.0%,22.0%,31.3%,16.7%,6.7%,0.0%,2.3%,33.3%,63,25
2004 Roland Garros QF,L vs Nalbandian,1.6%,50.0%,11.4%,65.5%,12.8%,13.8%,20.0%,6.4%,21.6%,2.7%,42.9%,-16,-15
2004 Roland Garros R32,W vs Federer,0.0%,-,8.1%,86.7%,14.0%,14.6%,0.0%,8.9%,26.1%,1.6%,60.0%,-7,-16
2003 Roland Garros R32,W vs Gaudio,4.1%,83.3%,15.7%,67.4%,6.9%,8.9%,0.0%,5.7%,8.3%,1.7%,22.2%,-54,-51
2003 Indian Wells F,L vs Hewitt,0.0%,-,11.1%,50.0%,7.1%,17.4%,0.0%,8.4%,29.4%,1.6%,0.0%,52,14
2003 Indian Wells SF,W vs Schuettler,0.0%,-,13.8%,86.4%,12.1%,7.0%,20.0%,10.3%,17.6%,1.0%,0.0%,10,5
2002 Lyon QF,W vs Safin,5.7%,80.0%,10.9%,76.2%,17.1%,24.2%,33.3%,7.6%,20.0%,3.5%,42.9%,11,12
2002 Costa Do Sauipe F,W vs Coria,5.5%,42.9%,14.9%,64.1%,18.4%,19.0%,50.0%,13.1%,18.4%,1.3%,60.0%,47,46
2002 US Open R64,W vs Safin,0.0%,-,6.5%,76.9%,10.8%,16.7%,0.0%,11.3%,33.3%,0.3%,100.0%,-66,-45
2002 Roland Garros R32,W vs Gonzalez,4.4%,100.0%,11.8%,70.0%,7.1%,10.4%,0.0%,12.5%,23.8%,1.2%,33.3%,-79,-35
2002 Hamburg QF,L vs Federer,1.3%,0.0%,12.8%,57.9%,12.4%,7.9%,14.3%,11.2%,25.0%,1.6%,25.0%,32,0
2002 Hamburg R16,W vs Canas,1.5%,100.0%,9.6%,84.6%,13.1%,13.6%,0.0%,12.9%,20.0%,3.6%,33.3%,24,10
2002 Hamburg R32,W vs Pavel,0.0%,-,10.6%,42.9%,14.0%,16.3%,0.0%,20.0%,33.3%,2.1%,40.0%,13,17
2001 Masters Cup RR,L vs Ivanisevic,8.8%,100.0%,8.9%,77.8%,18.5%,33.3%,100.0%,21.7%,33.3%,1.2%,0.0%,41,58
2001 US Open QF,L vs Kafelnikov,0.0%,-,4.1%,66.7%,12.5%,15.0%,25.0%,12.7%,35.0%,0.4%,0.0%,0,-28
2001 US Open R32,W vs Mirnyi,2.7%,50.0%,7.6%,64.3%,34.1%,45.2%,33.3%,30.4%,43.3%,0.0%,-,114,72
2001 Cincinnati F,W vs Rafter,5.1%,100.0%,6.3%,83.3%,25.0%,37.5%,0.0%,26.3%,50.0%,1.6%,100.0%,213,140
2001 Cincinnati SF,W vs Henman,7.1%,60.0%,10.3%,88.2%,11.3%,22.7%,33.3%,20.0%,44.4%,0.5%,100.0%,64,44
2001 Cincinnati R16,W vs Ivanisevic,0.0%,-,3.8%,100.0%,15.8%,0.0%,0.0%,26.7%,50.0%,0.0%,-,55,110
2001 Stuttgart F,W vs Canas,2.9%,66.7%,9.9%,57.9%,14.9%,15.9%,0.0%,15.8%,26.9%,1.7%,60.0%,79,80
Career (73 matches),,2.9%,70.8%,11.2%,70.6%,14.2%,19.6%,16.0%,11.0%,27.0%,1.5%,39.9%,2,5
