Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,409,214,195,52.3%,474-431,52.4%,4202-4037,51.0%,38-41,48.1%,85,55.6%,11.1%,1.5%,5.2%,63.4%,58.0%,45.1%,53.3%,44.0%,48.7%,0.94
Clay,70,18,52,25.7%,44-111,28.4%,547-833,39.6%,9-3,75.0%,17,-,-,2.2%,6.1%,59.2%,49.7%,37.0%,44.5%,41.1%,42.8%,0.74
Grass,123,84,39,68.3%,170-101,62.7%,1364-1129,54.7%,13-10,56.5%,39,-,-,2.1%,4.4%,65.0%,64.2%,50.1%,59.3%,43.2%,51.4%,1.06
Carpet,13,6,7,46.2%,12-17,41.4%,135-139,49.3%,1-5,16.7%,0,,,,,,,,,,,
Grand Slams,117,58,59,49.6%,122-135,47.5%,1133-1190,48.8%,9-10,47.4%,47,-,-,1.5%,4.9%,62.1%,56.3%,44.4%,51.8%,41.4%,46.8%,0.86
Premiers,113,46,67,40.7%,114-150,43.2%,1137-1298,46.7%,16-12,57.1%,20,-,-,2.0%,5.8%,60.0%,57.5%,43.1%,51.7%,41.1%,46.6%,0.85
Internationals,191,109,82,57.1%,233-191,55.0%,2032-1879,52.0%,18-18,50.0%,68,55.6%,11.1%,1.9%,4.8%,65.7%,60.9%,47.9%,56.4%,45.4%,50.9%,1.04
Finals,15,6,9,40.0%,13-19,40.6%,150-165,47.6%,2-4,33.3%,4,-,-,0.0%,1.2%,70.2%,60.2%,53.0%,58.0%,45.2%,52.0%,1.08
Semi-finals,26,15,11,57.7%,30-24,55.6%,264-251,51.3%,3-2,60.0%,4,-,-,3.4%,3.1%,69.7%,64.8%,57.0%,62.5%,48.1%,55.6%,1.28
Quarter-finals,51,26,25,51.0%,54-55,49.5%,500-489,50.6%,2-8,20.0%,11,-,-,1.1%,5.2%,66.0%,57.3%,43.7%,52.6%,43.2%,47.9%,0.91
vs Righties,505,256,249,50.7%,568-553,50.7%,5136-5100,50.2%,47-52,47.5%,123,-,-,1.7%,5.3%,63.3%,59.8%,45.4%,54.5%,43.1%,48.9%,0.95
vs Lefties,45,16,29,35.6%,37-63,37.0%,408-496,45.1%,5-4,55.6%,15,55.6%,11.1%,1.9%,3.9%,65.3%,52.9%,44.9%,50.1%,44.2%,47.2%,0.89
vs Top 10,57,7,50,12.3%,18-100,15.3%,368-675,35.3%,2-8,20.0%,15,-,-,1.9%,5.3%,62.0%,59.2%,42.8%,53.0%,37.6%,45.4%,0.80
