Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2020,9,4505,7,2003,8,1955,3,1941,,,118,738,,
2019,9,4245,12,1995,14,1931,4,1952,10,1831,178,432,,
2018,9,4335,21,1957,26,1863,10,1907,27,1767,43,1770,,
2017,31,1610,53,1795,91,1672,16,1838,70,1617,19,3420,,
2016,22,1977,33,1851,50,1749,16,1841,40,1678,37,2145,,
2015,104,618,97,1707,105,1628,61,1687,91,1578,38,1975,,
2014,68,759,63,1776,72,1707,41,1751,,,241,220,,
2013,87,737,98,1692,102,1637,95,1619,144,1484,351,171,,
2012,63,956,71,1766,79,1696,78,1670,107,1551,291,205,,
2011,182,358,133,1623,137,1565,144,1524,147,1463,200,353,,
2010,219,264,,,,,,,,,326,181,,
2009,542,49,,,,,,,,,,,,
2008,978,6,,,,,,,,,,,,
