Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,17,8,9,47.1%,7,4,3,57.1%,2012,2020,R16,16,1.00,5.7%,5.5%,63.2%,65.7%,43.5%,57.5%,42.6%,50.4%,44.3%
Roland Garros,11,Clay,32,21,11,65.6%,7,3,4,42.9%,2011,2021,SF,30,1.13,4.3%,5.6%,63.0%,64.2%,45.5%,57.3%,48.3%,55.7%,51.5%
Wimbledon,8,Grass,17,9,8,52.9%,4,2,2,50.0%,2012,2021,QF,17,1.00,5.6%,5.2%,58.8%,69.2%,46.5%,59.8%,40.0%,59.5%,43.9%
US Open,9,Hard,18,9,9,50.0%,5,1,4,20.0%,2011,2019,R32,14,1.02,5.8%,6.7%,53.7%,68.5%,42.3%,56.4%,44.6%,55.6%,49.2%
Olympics,2,,2,0,2,0.0%,0,0,0,-,2016,2021,R64,1,0.92,10.4%,4.2%,55.2%,62.3%,30.2%,47.9%,48.1%,42.9%,37.5%
Fed Cup,7,,22,20,2,90.9%,5,4,1,80.0%,2011,2020,,10,1.30,10.2%,5.4%,61.7%,74.3%,49.0%,64.6%,46.1%,54.9%,54.4%
Miami,8,Hard,19,11,8,57.9%,2,2,0,100.0%,2013,2021,R16,19,1.05,6.1%,6.3%,57.3%,66.8%,46.4%,58.1%,44.0%,50.0%,47.6%
Linz,7,Hard,17,9,8,52.9%,6,2,4,33.3%,2012,2019,QF,13,1.04,4.4%,5.2%,56.6%,70.3%,46.4%,60.0%,41.8%,53.6%,39.2%
Luxembourg,6,Hard,15,9,6,60.0%,1,1,0,100.0%,2011,2017,SF,12,1.09,7.9%,4.9%,57.0%,67.8%,42.6%,57.0%,46.8%,52.1%,46.8%
Rome,6,Clay,15,9,6,60.0%,2,2,0,100.0%,2013,2020,SF,15,1.04,5.4%,5.6%,57.4%,66.1%,43.5%,56.4%,45.2%,47.3%,47.4%
Cincinnati,6,Hard,14,9,5,64.3%,4,1,3,25.0%,2012,2019,W,14,1.09,9.5%,5.5%,56.2%,66.9%,47.6%,58.5%,45.1%,54.5%,49.5%
Indian Wells,6,Hard,12,6,6,50.0%,3,1,2,33.3%,2013,2019,R16,12,1.05,6.5%,7.2%,55.5%,65.5%,47.3%,57.4%,44.9%,54.0%,43.7%
