Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,14,Hard,28,14,14,50.0%,10,4,6,40.0%,2007,2022,R32,24,0.94,8.4%,2.3%,61.3%,72.0%,48.6%,62.9%,34.7%,59.7%,41.4%
Roland Garros,11,Clay,12,1,11,8.3%,6,3,3,50.0%,2010,2022,R64,11,0.68,4.8%,2.6%,56.4%,62.8%,50.9%,57.6%,28.7%,58.1%,24.5%
Wimbledon,13,Grass,30,17,13,56.7%,15,7,8,46.7%,2009,2022,R32,18,0.86,7.8%,3.0%,64.8%,72.4%,50.6%,64.7%,30.4%,61.6%,43.3%
US Open,13,Hard,23,8,15,34.8%,6,4,2,66.7%,2006,2021,R128,16,0.85,7.8%,4.4%,56.4%,67.9%,47.6%,59.0%,34.9%,46.8%,30.8%
Olympics,1,,1,0,1,0.0%,1,0,1,0.0%,2012,2012,R64,1,0.89,7.3%,3.6%,60.0%,72.7%,50.0%,63.6%,32.4%,0.0%,0.0%
Davis Cup,10,,30,17,13,56.7%,11,7,4,63.6%,2006,2015,,0,,,,,,,,,,
Miami Masters,8,Hard,17,9,8,52.9%,3,0,3,0.0%,2010,2019,R64,16,1.01,7.8%,4.1%,54.5%,73.9%,47.3%,61.8%,38.4%,66.7%,38.3%
Halle,7,Grass,23,15,8,65.2%,11,7,4,63.6%,2009,2021,QF,18,1.01,7.5%,2.1%,64.3%,72.6%,53.6%,65.8%,34.6%,61.3%,38.2%
Zagreb,7,Hard,18,11,7,61.1%,10,7,3,70.0%,2009,2015,F,15,0.98,8.5%,2.0%,59.8%,72.2%,52.8%,64.4%,35.0%,52.0%,39.5%
Atlanta,7,Hard,14,7,7,50.0%,5,4,1,80.0%,2010,2021,QF,14,1.00,10.0%,4.5%,55.3%,75.0%,51.0%,64.3%,35.7%,50.7%,50.0%
Washington,7,Hard,12,5,7,41.7%,4,3,1,75.0%,2010,2018,R16,12,0.92,8.5%,4.9%,55.4%,72.7%,49.9%,62.5%,34.5%,52.1%,37.9%
Doha,4,Hard,11,6,5,54.5%,4,3,1,75.0%,2011,2021,QF,11,1.10,7.0%,2.9%,59.5%,70.1%,54.2%,63.6%,40.1%,62.9%,36.8%
