Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2021,873,18,,,,,,,,,,,,
2020,710,29,,,,,,,,,539,73,,
2019,781,20,,,,,,,,,645,53,,
2018,,,,,,,,,,,834,1,,
2017,632,41,,,,,,,,,641,73,,
2016,448,89,,,,,,,,,517,105,,
2015,429,99,,,,,,,,,456,133,,
2014,397,105,,,,,,,,,568,92,,
2013,586,50,,,,,,,,,552,94,,
2012,455,78,,,,,,,,,600,82,,
2011,521,58,,,,,,,,,1094,18,,
2010,1145,4,,,,,,,,,,,,
2009,1386,2,,,,,,,,,,,,
2008,1936,1,,,,,,,,,,,,
2007,1197,4,,,,,,,,,,,,
2006,1281,3,,,,,,,,,,,,
1996,,,,,,,,,,,1176,4,,
