Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Australian Open R64,W vs Raducanu,22.7%,28.8%,41.7%,30.3%,39.4%,47.8%,50.0%,23.5%,0.0%,16.7%,20.0%,36.0%,23.1%,23.5%,50.0%,6
2026 Australian Open R128,W vs Lamens,23.9%,28.3%,45.2%,29.1%,36.4%,51.3%,56.5%,31.3%,14.3%,20.7%,20.7%,34.8%,6.7%,35.7%,0.0%,68
2026 Brisbane R64,W vs Kasatkina,25.5%,38.7%,52.7%,30.9%,47.1%,55.3%,55.9%,44.1%,60.0%,18.2%,27.3%,48.1%,7.7%,45.0%,100.0%,55
2025 US Open R64,L vs Andreeva,13.2%,20.6%,35.7%,19.5%,29.3%,36.4%,55.0%,23.8%,0.0%,4.2%,8.3%,34.8%,0.0%,30.8%,40.0%,-76
2025 Cleveland R32,L vs Jovic,18.2%,24.2%,45.8%,25.0%,34.4%,58.3%,56.3%,50.0%,66.7%,14.3%,17.9%,33.3%,25.0%,75.0%,66.7%,17
2025 Madrid R16,L vs Kostyuk,18.8%,27.5%,42.3%,25.6%,37.2%,53.1%,72.2%,44.0%,40.0%,9.1%,13.6%,25.0%,25.0%,50.0%,66.7%,-30
2025 Madrid R64,W vs Zheng,18.3%,28.3%,55.6%,23.1%,33.3%,56.7%,60.0%,41.7%,66.7%,11.8%,23.5%,53.3%,0.0%,50.0%,-,-9
2025 Indian Wells R64,L vs Keys,20.4%,24.1%,26.2%,18.5%,22.2%,22.7%,35.7%,69.2%,33.3%,23.1%,26.9%,30.0%,8.3%,85.7%,66.7%,-59
2025 Cluj Napoca F,W vs Bronzetti,29.4%,37.6%,50.0%,40.7%,51.9%,50.0%,56.5%,48.4%,75.0%,11.1%,14.8%,50.0%,7.7%,85.7%,0.0%,-4
2024 US Open R32,L vs Muchova,19.0%,34.5%,51.3%,30.3%,51.5%,60.9%,47.1%,62.5%,0.0%,5.9%,17.6%,37.5%,0.0%,55.6%,66.7%,-73
2024 Cleveland R32,W vs Parry,19.0%,31.0%,50.0%,17.9%,35.7%,56.5%,53.8%,33.3%,-,25.0%,25.0%,33.3%,42.9%,80.0%,-,68
2024 Birmingham QF,W vs Krejcikova,43.3%,48.3%,43.8%,57.1%,65.7%,40.0%,77.8%,35.3%,0.0%,26.1%,26.1%,47.1%,60.0%,46.2%,0.0%,-7
2024 Birmingham R32,W vs Avanesyan,23.8%,41.3%,48.9%,36.1%,58.3%,60.9%,35.3%,63.2%,0.0%,8.3%,20.8%,36.4%,33.3%,73.3%,100.0%,-30
2024 Roland Garros R16,L vs Swiatek,6.5%,9.7%,17.9%,8.3%,16.7%,18.2%,44.4%,0.0%,-,5.6%,5.6%,17.6%,50.0%,10.0%,0.0%,-58
2024 Miami R64,L vs Collins,25.6%,30.2%,24.1%,36.7%,43.3%,31.6%,60.0%,33.3%,0.0%,0.0%,0.0%,10.0%,25.0%,33.3%,0.0%,-119
2024 Indian Wells QF,L vs Kostyuk,14.3%,15.9%,34.0%,14.9%,17.0%,37.5%,69.6%,12.5%,0.0%,16.7%,16.7%,20.0%,75.0%,50.0%,100.0%,25
2024 Linz R16,W vs Cocciaretto,17.2%,27.6%,50.4%,21.5%,37.6%,57.5%,68.3%,42.3%,41.7%,10.6%,10.6%,38.1%,66.7%,79.3%,100.0%,-8
2023 San Diego QF,L vs Kenin,23.2%,30.4%,39.5%,28.1%,34.4%,43.5%,60.0%,58.3%,75.0%,31.8%,45.5%,33.3%,57.1%,73.3%,83.3%,99
2023 Montreal R64,L vs Muchova,24.1%,32.9%,44.4%,16.3%,32.6%,55.6%,36.8%,58.3%,25.0%,40.0%,40.0%,22.2%,25.0%,61.1%,100.0%,68
2023 Birmingham R32,W vs Kostyuk,26.9%,41.7%,62.7%,32.8%,50.0%,69.8%,37.0%,32.4%,0.0%,20.0%,32.5%,53.1%,44.4%,9.1%,-,6
Last 52 Weeks (7 matches),,20.7%,28.8%,45.7%,26.7%,37.6%,51.3%,57.7%,37.3%,34.5%,14.2%,19.1%,37.6%,12.9%,43.9%,50.0%,20
Career (51 matches),,19.6%,27.2%,45.9%,23.8%,34.1%,50.2%,50.9%,42.2%,35.6%,16.2%,20.7%,39.4%,23.0%,54.9%,56.3%,39
