Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2026 Australian Open R64,W vs Raducanu,50% (6/12),75% (6/8),2/3,1/2,20% (1/5),0/0,0/0,60% (3/5),80% (4/5)
2026 Australian Open R128,W vs Lamens,64% (9/14),50% (7/14),2/4,1/3,40% (4/10),1/2,0/0,- (0/0),- (0/0)
2026 Brisbane R64,W vs Kasatkina,50% (12/24),33% (5/15),2/4,1/3,56% (5/9),0/1,0/0,- (0/0),- (0/0)
2025 US Open R64,L vs Andreeva,15% (2/13),50% (2/4),0/0,0/0,50% (6/12),0/2,0/1,- (0/0),- (0/0)
2025 Cleveland R32,L vs Jovic,100% (5/5),30% (3/10),0/0,0/0,64% (9/14),1/3,1/2,- (0/0),- (0/0)
2025 Madrid R16,L vs Kostyuk,29% (4/14),50% (1/2),0/0,0/0,44% (4/9),2/4,2/3,- (0/0),- (0/0)
2025 Madrid R64,W vs Zheng,47% (7/15),56% (5/9),2/3,1/2,25% (1/4),0/0,0/0,- (0/0),- (0/0)
2025 Indian Wells R64,L vs Keys,29% (2/7),17% (1/6),0/0,0/0,33% (3/9),1/3,1/2,- (0/0),- (0/0)
2025 Cluj-Napoca F,W vs Bronzetti,65% (11/17),38% (5/13),2/5,1/4,67% (4/6),0/1,0/0,- (0/0),- (0/0)
2024 US Open R32,L vs Muchova,67% (6/9),0% (0/2),0/0,0/0,57% (4/7),5/7,3/4,- (0/0),- (0/0)
2024 US Open R64,W vs Lepchenko,47% (9/19),30% (3/10),2/2,1/1,86% (6/7),0/0,0/0,- (0/0),- (0/0)
2024 US Open R128,W vs Fernandez,69% (9/13),43% (6/14),2/5,1/1,68% (13/19),1/2,0/0,- (0/0),- (0/0)
2024 Birmingham QF,W vs Krejcikova,90% (9/10),38% (3/8),2/2,1/1,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2024 Birmingham R32,W vs Avanesyan,50% (8/16),80% (4/5),2/3,1/1,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2024 Roland Garros R16,L vs Swiatek,- (0/0),- (0/0),0/0,0/0,25% (2/8),0/2,0/1,- (0/0),- (0/0)
2024 Miami R64,L vs Collins,75% (3/4),50% (1/2),0/0,0/0,29% (2/7),1/3,1/2,- (0/0),- (0/0)
2024 Indian Wells QF,L vs Kostyuk,22% (2/9),60% (3/5),0/0,0/0,30% (3/10),1/3,1/2,- (0/0),- (0/0)
2024 Linz R16,W vs Cocciaretto,40% (12/30),75% (3/4),2/7,1/4,75% (12/16),2/3,2/2,60% (6/10),50% (5/10)
2023 San Diego QF,L vs Kenin,43% (3/7),33% (2/6),0/0,0/0,57% (8/14),4/6,1/2,- (0/0),- (0/0)
2023 US Open R128,L vs Tauson,47% (7/15),67% (8/12),1/1,0/0,58% (11/19),1/3,0/1,60% (3/5),17% (1/6)
2026 (3 matches),,54.0%,48.6%,54.5%,37.5%,41.7%,33.3%,-,60.0%,80.0%
2025 (6 matches),,43.7%,38.6%,50.0%,33.3%,50.0%,30.8%,50.0%,-,-
2024 (9 matches),,52.7%,46.0%,52.6%,62.5%,57.5%,50.0%,63.6%,60.0%,50.0%
2023 (14 matches),,58.0%,44.7%,47.2%,50.0%,62.2%,42.9%,12.5%,54.2%,34.8%
2022 (11 matches),,62.3%,51.2%,76.5%,66.7%,50.0%,26.7%,0.0%,46.7%,23.5%
Career (109 matches),,54.2%,46.6%,52.7%,54.3%,54.5%,45.4%,47.5%,58.5%,40.3%
