Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,19,14,5,73.7%,32-14,69.6%,241-170,58.6%,2-2,50.0%,14,74.3%,41.6%,2.1%,4.3%,67.1%,66.6%,46.3%,59.9%,46.5%,53.4%,1.16,W (United Cup)
2025,55,37,18,67.3%,78-47,62.4%,628-540,53.8%,10-6,62.5%,53,71.6%,35.3%,2.8%,4.2%,65.2%,65.9%,46.7%,59.2%,44.0%,51.6%,1.08,W (2x)
2024,1,1,0,100.0%,2-0,100.0%,12-4,75.0%,0-0,-,0,,,,,,,,,,,,
2023,45,31,14,68.9%,65-35,65.0%,525-430,55.0%,10-6,62.5%,44,76.2%,34.2%,4.5%,5.9%,60.4%,69.5%,49.4%,61.5%,43.5%,52.4%,1.13,W (2x)
2022,61,42,19,68.9%,94-51,64.8%,770-619,55.4%,9-9,50.0%,56,77.0%,32.7%,4.6%,5.7%,63.5%,70.2%,47.8%,62.0%,42.7%,52.2%,1.13,W (Charleston)
2021,57,37,20,64.9%,77-52,59.7%,641-566,53.1%,10-1,90.9%,49,75.0%,29.0%,5.5%,6.9%,59.9%,70.7%,47.3%,61.3%,41.6%,51.3%,1.08,W (Tokyo Olympics)
2020,16,8,8,50.0%,19-17,52.8%,165-177,48.2%,4-1,80.0%,16,64.1%,31.7%,5.0%,7.2%,61.1%,67.0%,40.7%,56.8%,40.8%,49.0%,0.94,QF (3x)
2019,70,49,21,70.0%,107-60,64.1%,848-719,54.1%,11-3,78.6%,70,71.5%,36.1%,4.2%,6.6%,61.6%,67.6%,46.2%,59.4%,44.5%,51.9%,1.09,W (2x)
2018,29,13,16,44.8%,33-36,47.8%,308-329,48.4%,6-3,66.7%,29,63.8%,32.2%,3.7%,5.9%,63.5%,64.6%,41.8%,56.3%,42.8%,49.5%,0.98,F (Luxembourg)
2017,13,4,9,30.8%,10-19,34.5%,126-152,45.3%,1-1,50.0%,13,65.0%,26.2%,3.0%,5.9%,62.1%,66.1%,41.8%,56.9%,39.2%,48.3%,0.91,QF (Linz)
2016,41,20,21,48.8%,45-44,50.6%,424-427,49.8%,6-5,54.5%,40,69.6%,30.8%,3.3%,6.8%,61.0%,67.1%,44.3%,58.2%,41.8%,49.9%,1.00,F (St. Petersburg)
2015,62,41,21,66.1%,83-52,61.5%,697-603,53.6%,11-8,57.9%,51,69.9%,37.0%,3.1%,4.4%,66.2%,65.3%,50.3%,60.2%,42.6%,51.1%,1.07,W (2x)
2014,37,19,18,51.4%,38-43,46.9%,365-379,49.1%,1-5,16.7%,30,-,-,3.9%,4.9%,58.2%,62.9%,43.0%,54.6%,44.4%,49.5%,0.98,F (Tianjin)
2013,5,2,3,40.0%,5-7,41.7%,60-61,49.6%,0-0,-,5,-,-,3.9%,6.4%,57.9%,63.5%,44.4%,55.4%,46.2%,50.5%,1.04,R16 (Osaka)
2012,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,1,-,-,2.0%,4.0%,60.0%,56.7%,25.0%,44.0%,37.3%,40.6%,0.67,R32 (Luxembourg)
Career,512,318,194,62.1%,688-479,59.0%,5814-5188,52.8%,81-50,61.8%,471,71.9%,33.6%,3.9%,5.8%,62.4%,67.3%,46.2%,59.4%,43.1%,51.2%,1.06,
