Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Miami R16,W vs Anisimova,74.1%,60.0%,11.1%,3/3,2.49,0.0%,76.3%,62.1%,13.2%,2.50,0.0%,84.6%,54.5%,7.7%,2.42,0.0%
2026 United Cup F,W vs Swiatek,75.0%,66.7%,6.8%,3/3,2.39,2.0%,67.2%,69.2%,1.7%,2.39,2.9%,96.4%,63.0%,17.9%,2.39,0.0%
2026 United Cup QF,W vs Sierra,66.1%,70.3%,5.4%,0/3,2.56,4.5%,55.9%,68.4%,0.0%,2.34,7.1%,94.7%,72.2%,15.8%,2.94,0.0%
2025 Hong Kong R16,W vs Wang,77.0%,55.3%,0.0%,0/0,2.35,22.7%,73.3%,40.9%,0.0%,2.25,29.4%,89.3%,68.0%,0.0%,2.68,0.0%
2025 Tokyo F,W vs Noskova,70.6%,47.2%,5.9%,2/1,2.78,22.0%,75.0%,54.2%,3.1%,2.78,32.4%,92.3%,33.3%,15.4%,2.79,0.0%
2025 Tokyo SF,W vs Kenin,78.9%,40.0%,4.2%,2/2,2.75,10.2%,83.1%,40.7%,3.1%,2.67,15.0%,84.0%,38.1%,8.0%,2.93,0.0%
2025 Ningbo QF,L vs Paolini,77.3%,55.6%,2.3%,0/3,2.66,3.6%,78.2%,50.8%,1.3%,2.65,6.8%,79.2%,63.2%,4.2%,2.66,0.0%
2025 Ningbo R32,W vs Linette,73.2%,65.9%,14.3%,3/5,2.41,4.7%,67.6%,56.5%,8.8%,2.54,7.4%,85.7%,77.8%,23.8%,2.19,0.0%
2025 Wuhan R64,W vs Vekic,60.4%,62.1%,12.5%,3/3,2.33,0.0%,61.1%,45.5%,16.7%,2.24,0.0%,81.8%,72.2%,13.6%,2.59,0.0%
2025 Wimbledon SF,L vs Swiatek,70.5%,35.5%,25.0%,6/5,2.44,2.6%,66.7%,25.0%,20.0%,2.37,4.0%,91.7%,54.5%,41.7%,2.58,0.0%
2025 Wimbledon QF,W vs Andreeva,66.0%,53.2%,2.1%,1/1,2.26,15.8%,59.3%,45.7%,3.4%,2.13,20.9%,87.1%,63.0%,0.0%,2.64,0.0%
2025 Wimbledon R64,W vs Jacquemot,66.7%,67.2%,8.0%,7/0,2.40,9.4%,60.9%,57.1%,6.5%,2.36,12.0%,81.1%,76.7%,10.8%,2.56,0.0%
2025 Madrid R64,W vs Tauson,61.9%,43.6%,3.2%,2/0,2.31,17.0%,63.6%,28.6%,0.0%,2.18,21.6%,75.0%,61.1%,8.3%,2.64,6.3%
2025 Charleston R32,L vs Kenin,68.8%,50.0%,1.6%,1/0,2.86,3.2%,79.1%,50.0%,0.0%,2.94,5.9%,55.6%,50.0%,5.6%,2.76,0.0%
2025 Indian Wells QF,L vs Keys,68.8%,51.5%,25.0%,5/7,2.88,2.6%,60.0%,44.4%,23.3%,2.91,4.8%,93.8%,60.0%,31.3%,2.84,0.0%
2025 Indian Wells R16,W vs Gauff,70.1%,37.7%,5.7%,2/3,2.50,1.6%,71.7%,30.2%,3.3%,2.50,2.2%,94.7%,55.6%,15.8%,2.51,0.0%
2025 Indian Wells R32,W vs Shnaider,80.3%,64.2%,9.1%,6/0,2.58,19.6%,82.6%,68.4%,4.3%,2.70,31.0%,88.2%,53.3%,23.5%,2.38,0.0%
2025 Abu Dhabi F,W vs Krueger,77.3%,57.4%,5.7%,2/3,2.46,9.5%,89.5%,54.9%,5.3%,2.46,13.0%,85.0%,64.7%,10.0%,2.44,0.0%
2025 Abu Dhabi SF,W vs Rybakina,69.3%,54.1%,5.7%,1/4,3.01,8.2%,68.6%,45.7%,2.0%,2.97,12.8%,76.5%,65.4%,11.8%,3.08,0.0%
2025 Australian Open R16,L vs Gauff,59.0%,45.8%,12.0%,5/7,2.23,2.9%,58.1%,38.9%,9.7%,2.25,4.7%,79.3%,56.5%,20.7%,2.18,0.0%
Last 52 Weeks (14 matches),,71.2%,55.3%,6.3%,53.2%,2.51,8.7%,70.2%,50.2%,4.5%,2.45,12.5%,83.8%,62.7%,10.3%,2.63,0.5%
Career (129 matches),,69.1%,54.6%,6.6%,60.6%,2.50,8.1%,67.9%,50.5%,4.7%,2.47,12.2%,82.6%,60.9%,11.3%,2.55,1.2%
