Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2026 Dubai R32,L vs Jovic,41% (7/17),50% (3/6),1/2,0/0,67% (10/15),0/2,0/1,- (0/0),- (0/0)
2026 Dubai R64,W vs Joint,46% (6/13),100% (6/6),2/5,1/1,0% (0/2),0/0,0/0,- (0/0),- (0/0)
2026 Australian Open R32,L vs Svitolina,50% (5/10),80% (4/5),0/0,0/0,17% (1/6),0/2,0/1,60% (3/5),17% (1/6)
2026 Australian Open R64,W vs Gibson,56% (10/18),60% (6/10),2/2,1/1,55% (6/11),3/4,3/3,- (0/0),- (0/0)
2026 Adelaide SF,L vs Andreeva,57% (4/7),50% (1/2),0/0,0/0,50% (5/10),1/3,0/1,- (0/0),- (0/0)
2025 Tokyo R16,L vs Kalinskaya,71% (12/17),50% (6/12),1/2,0/0,43% (3/7),2/4,2/3,55% (6/11),25% (3/12)
2025 Ningbo SF,L vs Alexandrova,83% (5/6),20% (2/10),0/0,0/0,43% (3/7),6/8,5/6,- (0/0),- (0/0)
2025 Monterrey F,W vs Alexandrova,75% (12/16),57% (4/7),2/3,1/2,70% (7/10),2/3,0/0,- (0/0),- (0/0)
2025 Bad Homburg R32,L vs Vekic,67% (6/9),0% (0/4),0/0,0/0,0% (0/3),2/4,0/1,- (0/0),- (0/0)
2025 Rome QF,L vs Paolini,50% (6/12),75% (6/8),1/1,0/0,53% (10/19),0/2,0/1,75% (3/4),100% (4/4)
2025 Indian Wells R32,L vs Bencic,50% (4/8),57% (4/7),0/0,0/0,45% (5/11),0/2,0/1,- (0/0),- (0/0)
2025 Indian Wells R64,W vs Parks,70% (7/10),71% (5/7),2/4,1/2,100% (4/4),0/0,0/0,- (0/0),- (0/0)
2025 Doha R64,L vs Parks,58% (7/12),50% (3/6),0/2,0/0,43% (3/7),2/4,1/2,25% (1/4),20% (1/5)
2025 Australian Open R32,L vs Vekic,57% (12/21),42% (5/12),1/1,0/0,33% (3/9),0/2,0/1,60% (6/10),45% (5/11)
2024 Hong Kong F,W vs Boulter,73% (8/11),36% (4/11),2/5,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2024 Hong Kong SF,W vs Fernandez,58% (7/12),63% (5/8),2/7,1/1,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2024 Hong Kong R32,W vs Okamura,75% (9/12),43% (3/7),2/6,1/3,- (0/0),0/0,0/0,- (0/0),- (0/0)
2024 Tokyo SF,L vs Zheng,67% (6/9),60% (3/5),0/0,0/0,56% (5/9),4/6,0/1,67% (4/6),17% (1/6)
2024 Wuhan R64,L vs Fernandez,47% (8/17),57% (4/7),1/3,0/0,46% (6/13),4/6,0/1,75% (6/8),38% (3/8)
2024 US Open R16,L vs Pegula,33% (4/12),22% (2/9),0/0,0/0,50% (5/10),0/2,0/1,- (0/0),- (0/0)
2026 (5 matches),,49.2%,69.0%,55.6%,100.0%,50.0%,36.4%,50.0%,60.0%,16.7%
2025 (9 matches),,64.0%,47.9%,53.8%,50.0%,49.4%,48.3%,53.3%,55.2%,40.6%
2024 (22 matches),,60.0%,50.9%,50.0%,64.0%,62.0%,45.2%,14.3%,70.0%,35.0%
2023 (4 matches),,56.0%,60.9%,83.3%,100.0%,59.5%,66.7%,60.0%,71.4%,42.9%
2022 (3 matches),,52.5%,44.1%,46.2%,60.0%,68.8%,-,-,-,-
Career (43 matches),,58.6%,51.9%,52.3%,65.8%,57.4%,48.2%,45.5%,62.3%,36.9%
