Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,101,58,43,57.4%,128-106,54.7%,1163-1043,52.7%,17-18,48.6%,101,70.0%,35.2%,2.7%,4.4%,63.9%,64.5%,48.0%,58.5%,43.4%,51.0%,1.05
Clay,40,25,15,62.5%,55-34,61.8%,440-371,54.3%,3-1,75.0%,40,68.9%,39.6%,2.0%,4.2%,63.9%,63.6%,47.9%,57.9%,45.5%,51.7%,1.08
Grass,20,13,7,65.0%,31-18,63.3%,249-212,54.0%,4-0,100.0%,20,74.3%,32.6%,3.4%,2.8%,64.6%,63.6%,53.9%,60.2%,42.3%,51.2%,1.06
Grand Slams,24,13,11,54.2%,31-25,55.4%,288-268,51.8%,5-3,62.5%,24,69.0%,34.7%,3.1%,4.0%,62.4%,64.2%,47.8%,58.0%,42.9%,50.4%,1.02
Premiers,50,30,20,60.0%,65-52,55.6%,576-532,52.0%,9-8,52.9%,50,70.9%,32.5%,2.6%,4.4%,65.8%,64.2%,49.4%,59.1%,42.5%,50.8%,1.04
Internationals,40,30,10,75.0%,61-29,67.8%,453-343,56.9%,2-2,50.0%,40,72.0%,41.5%,3.1%,3.1%,62.4%,63.9%,52.0%,59.4%,46.0%,52.6%,1.13
Finals,6,5,1,83.3%,10-5,66.7%,71-58,55.0%,0-0,-,6,71.2%,38.1%,5.0%,1.6%,65.1%,60.4%,54.9%,58.4%,44.6%,51.8%,1.07
Semi-finals,13,6,7,46.2%,12-15,44.4%,126-134,48.5%,2-2,50.0%,13,66.4%,30.5%,1.8%,4.3%,64.2%,60.0%,49.8%,56.4%,41.9%,49.2%,0.96
Quarter-finals,17,12,5,70.6%,29-16,64.4%,237-190,55.5%,6-2,75.0%,17,73.0%,37.0%,2.5%,3.9%,64.7%,64.0%,53.6%,60.3%,44.3%,52.4%,1.12
vs Righties,142,84,58,59.2%,189-140,57.4%,1639-1422,53.5%,19-19,50.0%,142,70.8%,36.2%,2.7%,4.0%,64.5%,64.2%,49.0%,58.8%,43.9%,51.3%,1.06
vs Lefties,16,9,7,56.3%,19-17,52.8%,173-171,50.3%,2-0,100.0%,16,67.4%,32.5%,2.3%,5.1%,60.3%,63.2%,48.4%,57.4%,41.8%,49.8%,0.98
vs Top 10,14,1,13,7.1%,9-26,25.7%,141-196,41.8%,3-3,50.0%,14,61.4%,21.8%,1.4%,3.7%,64.2%,59.8%,45.4%,54.7%,39.3%,47.2%,0.87
