Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2026 Dubai R32,L vs Jovic,36% (4/11),75% (3/4),0/4,58% (7/12),29% (2/7),3/3,1/1,0/1,0/0,0/1
2026 Dubai R64,W vs Joint,67% (6/9),100% (6/6),1/2,25% (2/8),0% (0/2),4/5,1/1,0/0,0/0,0/0
2026 Australian Open R32,L vs Svitolina,36% (4/11),100% (4/4),4/5,50% (5/10),0% (0/5),1/4,0/0,0/0,0/0,0/0
2026 Australian Open R64,W vs Gibson,47% (7/15),86% (6/7),2/4,47% (7/15),29% (2/7),4/5,1/1,1/2,0/0,1/1
2026 Adelaide SF,L vs Andreeva,13% (1/8),100% (1/1),0/3,67% (6/9),17% (1/6),0/1,0/0,0/2,0/0,0/1
2025 Tokyo R16,L vs Kalinskaya,56% (9/16),67% (6/9),3/4,25% (4/16),0% (0/4),5/6,1/1,2/2,0/0,2/2
2025 Ningbo SF,L vs Alexandrova,40% (4/10),50% (2/4),2/4,56% (5/9),20% (1/5),2/2,0/0,2/2,0/0,1/1
2025 Monterrey F,W vs Alexandrova,43% (6/14),67% (4/6),0/2,40% (6/15),50% (3/6),3/4,2/2,0/1,1/1,0/0
2025 Bad Homburg R32,L vs Vekic,22% (2/9),0% (0/2),0/2,33% (3/9),0% (0/3),0/0,0/0,1/2,0/0,0/1
2025 Rome QF,L vs Paolini,53% (8/15),75% (6/8),1/7,60% (9/15),0% (0/9),5/5,0/0,0/2,0/0,0/1
2025 Indian Wells R32,L vs Bencic,50% (5/10),80% (4/5),3/6,70% (7/10),14% (1/7),4/4,0/0,0/0,0/0,0/0
2025 Indian Wells R64,W vs Parks,71% (5/7),100% (5/5),0/0,29% (2/7),100% (2/2),4/4,1/1,0/0,1/1,0/0
2025 Doha R64,L vs Parks,36% (4/11),75% (3/4),1/3,45% (5/11),20% (1/5),1/3,0/1,2/3,0/0,1/1
2025 Australian Open R32,L vs Vekic,33% (6/18),83% (5/6),1/5,39% (7/18),14% (1/7),1/5,0/2,1/1,0/1,1/1
2024 Hong Kong F,W vs Boulter,86% (6/7),67% (4/6),0/0,0% (0/8),- (0/0),4/4,2/2,0/0,1/1,0/0
2024 Hong Kong SF,W vs Fernandez,56% (5/9),100% (5/5),1/2,33% (3/9),33% (1/3),3/5,2/2,0/0,1/1,0/0
2024 Hong Kong R32,W vs Okamura,44% (4/9),75% (3/4),0/0,0% (0/9),- (0/0),2/2,1/1,0/0,0/0,0/0
2024 Tokyo SF,L vs Zheng,27% (3/11),100% (3/3),0/4,50% (5/10),20% (1/5),2/3,0/0,2/2,0/0,1/1
2024 Wuhan R64,L vs Fernandez,33% (5/15),80% (4/5),1/6,47% (7/15),0% (0/7),3/4,0/0,3/4,0/0,0/0
2024 US Open R16,L vs Pegula,56% (5/9),40% (2/5),2/5,56% (5/9),0% (0/5),1/2,0/0,1/1,0/0,0/0
2026 (5 matches),,40.7%,90.9%,38.9%,50.0%,18.5%,66.7%,100.0%,20.0%,-,33.3%
2025 (9 matches),,44.5%,71.4%,33.3%,43.6%,18.8%,75.8%,57.1%,61.5%,66.7%,71.4%
2024 (22 matches),,46.5%,79.2%,32.1%,35.5%,30.5%,79.7%,94.4%,73.3%,100.0%,50.0%
2023 (4 matches),,37.8%,82.4%,18.8%,53.3%,29.2%,54.5%,100.0%,80.0%,100.0%,0.0%
2022 (3 matches),,80.0%,75.0%,60.0%,38.5%,50.0%,76.9%,57.1%,-,100.0%,-
Career (43 matches),,46.3%,78.5%,32.8%,41.0%,26.7%,75.0%,80.6%,63.2%,92.9%,53.8%
