Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Dubai R32,L vs Jovic,73.7%,52.4%,14.0%,6/2,2.45,2.8%,77.4%,45.8%,9.7%,2.43,4.2%,72.0%,61.1%,20.0%,2.49,0.0%
2026 Dubai R64,W vs Joint,81.8%,66.7%,5.5%,1/2,2.52,5.6%,82.9%,62.1%,2.9%,2.36,9.1%,80.0%,75.0%,10.0%,2.78,0.0%
2026 Australian Open R32,L vs Svitolina,67.5%,50.0%,7.8%,3/3,2.45,2.0%,69.8%,43.3%,9.3%,2.21,3.4%,75.9%,59.1%,6.9%,2.80,0.0%
2026 Australian Open R64,W vs Gibson,71.7%,56.3%,13.1%,9/4,2.56,6.0%,70.6%,50.0%,5.9%,2.50,7.1%,83.3%,62.9%,23.8%,2.66,4.0%
2026 Adelaide SF,L vs Andreeva,69.0%,42.5%,3.4%,1/1,2.03,15.4%,73.7%,50.0%,2.6%,2.04,19.5%,80.0%,25.0%,6.7%,1.97,0.0%
2025 Tokyo R16,L vs Kalinskaya,83.2%,51.1%,1.8%,0/2,2.55,6.3%,82.7%,44.8%,2.5%,2.64,8.9%,87.1%,66.7%,0.0%,2.36,0.0%
2025 Ningbo SF,L vs Alexandrova,70.7%,44.8%,0.0%,0/0,2.56,0.0%,76.4%,47.6%,0.0%,2.54,0.0%,76.2%,37.5%,0.0%,2.59,0.0%
2025 Monterrey F,W vs Alexandrova,60.0%,57.9%,4.2%,2/2,2.61,0.0%,49.1%,51.9%,5.5%,2.57,0.0%,96.8%,63.3%,3.2%,2.70,0.0%
2025 Bad Homburg R32,L vs Vekic,66.7%,42.5%,6.7%,4/0,2.43,2.8%,62.5%,40.0%,0.0%,2.42,4.3%,74.1%,45.0%,14.8%,2.45,0.0%
2025 Rome QF,L vs Paolini,83.3%,58.7%,0.0%,0/0,2.68,3.3%,83.1%,52.5%,0.0%,2.66,4.7%,84.2%,81.3%,0.0%,2.72,0.0%
2025 Indian Wells R32,L vs Bencic,74.2%,52.2%,3.2%,0/2,2.64,15.1%,76.3%,37.9%,5.3%,2.62,21.1%,81.0%,76.5%,0.0%,2.68,0.0%
2025 Indian Wells R64,W vs Parks,73.7%,71.4%,10.5%,1/3,2.71,3.0%,70.6%,66.7%,11.8%,2.84,4.8%,94.1%,75.0%,11.8%,2.48,0.0%
2025 Doha R64,L vs Parks,53.8%,42.9%,6.2%,2/2,2.54,7.5%,56.8%,42.9%,0.0%,2.52,9.1%,66.7%,42.9%,19.0%,2.58,5.0%
2025 Australian Open R32,L vs Vekic,65.8%,53.2%,3.4%,1/3,2.30,1.1%,60.0%,42.9%,1.4%,2.23,0.0%,83.3%,65.7%,7.1%,2.43,2.9%
2024 Hong Kong F,W vs Boulter,78.2%,60.5%,5.5%,2/1,3.12,11.1%,85.7%,58.3%,7.1%,3.17,14.3%,82.6%,63.2%,4.3%,2.97,0.0%
2024 Hong Kong SF,W vs Fernandez,68.0%,55.9%,6.0%,2/1,2.68,2.0%,80.0%,57.1%,5.7%,2.81,3.2%,54.5%,50.0%,9.1%,2.48,0.0%
2024 Hong Kong R32,W vs Okamura,69.5%,61.0%,1.7%,0/1,2.41,20.6%,70.0%,57.1%,2.5%,2.33,33.3%,68.4%,69.2%,0.0%,2.55,0.0%
2024 Tokyo SF,L vs Zheng,71.8%,49.0%,4.2%,0/3,2.90,3.7%,54.1%,40.0%,2.7%,2.88,5.9%,93.9%,54.8%,6.1%,2.94,0.0%
2024 Wuhan R64,L vs Fernandez,64.9%,47.2%,5.4%,5/1,2.34,3.9%,61.3%,34.2%,4.8%,2.24,5.2%,87.2%,61.8%,7.7%,2.66,0.0%
2024 US Open R16,L vs Pegula,71.2%,51.1%,6.1%,3/1,2.92,3.8%,62.9%,31.8%,8.6%,2.70,6.3%,86.2%,68.0%,3.4%,3.25,0.0%
Last 52 Weeks (10 matches),,73.0%,52.8%,5.3%,61.9%,2.50,4.5%,73.6%,48.9%,3.5%,2.46,6.4%,81.5%,59.4%,9.6%,2.58,0.5%
Career (38 matches),,71.5%,52.5%,6.0%,42.5%,2.55,6.2%,71.7%,47.4%,4.4%,2.51,9.3%,83.1%,60.2%,9.8%,2.63,0.8%
