Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,4,Hard,12,8,4,66.7%,5,3,2,60.0%,2023,2026,R32,12,1.07,4.7%,3.2%,62.0%,65.8%,48.5%,59.2%,43.7%,52.9%,50.5%
Roland Garros,3,Clay,5,2,3,40.0%,1,1,0,100.0%,2023,2025,R64,5,0.94,0.8%,5.8%,66.6%,60.2%,39.7%,53.3%,43.9%,50.0%,60.0%
Wimbledon,3,Grass,7,4,3,57.1%,2,1,1,50.0%,2023,2025,R32,7,1.09,2.7%,4.0%,56.2%,68.5%,50.5%,60.6%,42.8%,54.8%,40.0%
US Open,3,Hard,7,4,3,57.1%,2,1,1,50.0%,2023,2025,R16,7,1.13,2.3%,3.5%,63.5%,66.2%,53.1%,61.5%,43.5%,53.8%,45.8%
Olympics,1,,2,1,1,50.0%,0,0,0,-,2024,2024,R32,2,0.95,2.4%,5.5%,64.6%,58.5%,42.2%,52.8%,45.0%,61.1%,58.3%
Miami,4,Hard,6,2,4,33.3%,4,2,2,50.0%,2023,2026,R32,6,0.90,1.5%,5.9%,64.9%,66.7%,40.4%,57.5%,38.3%,32.1%,32.6%
Indian Wells,4,Hard,6,2,4,33.3%,3,1,2,33.3%,2023,2026,R32,6,0.92,1.4%,4.9%,63.5%,62.9%,42.7%,55.5%,40.8%,54.4%,59.0%
Dubai,2,Hard,4,2,2,50.0%,1,0,1,0.0%,2025,2026,R32,4,1.07,3.7%,4.7%,62.2%,65.8%,41.1%,56.4%,46.7%,67.5%,79.2%
Doha,3,Hard,5,2,3,40.0%,3,0,3,0.0%,2024,2026,R64,5,1.01,2.3%,2.0%,66.6%,67.2%,51.1%,61.8%,38.4%,68.4%,44.4%
Adelaide,2,Hard,7,5,2,71.4%,2,1,1,50.0%,2025,2026,SF,7,1.04,2.3%,5.8%,65.5%,64.5%,48.3%,58.9%,42.8%,57.7%,39.7%
Brisbane,2,Hard,4,1,3,25.0%,3,1,2,33.3%,2024,2026,R16,4,0.94,3.4%,4.9%,68.0%,65.5%,41.0%,57.6%,39.8%,62.2%,47.8%
