Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Dubai R32,L vs Jovic,3.6,3.7,3.4,45.6%,48.6%,52.4%,0.0%,60.7%,14.8%,-4.5,-3.8,-1.5,-2.2
2026 Dubai R64,W vs Joint,3.9,3.7,4.0,54.4%,53.1%,83.3%,40.0%,55.8%,3.9%,25.5,27.4,-4.0,-5.6
2026 Australian Open R32,L vs Svitolina,4.1,4.7,3.6,40.2%,56.7%,50.0%,41.7%,55.7%,8.9%,-1.0,-0.7,2.5,2.5
2026 Australian Open R64,W vs Gibson,3.1,3.1,3.1,51.5%,50.0%,61.5%,100.0%,51.5%,18.2%,19.0,17.6,9.5,10.9
2026 Adelaide SF,L vs Andreeva,5.5,5.1,5.9,47.9%,32.1%,52.6%,33.3%,39.1%,14.2%,-7.0,-6.6,0.5,0.3
2025 Tokyo R16,L vs Kalinskaya,4.5,4.6,4.5,51.8%,52.6%,47.2%,52.6%,52.0%,11.8%,22.5,11.5,4.5,2.6
2025 Ningbo SF,L vs Alexandrova,4.0,4.0,4.0,38.4%,44.7%,53.3%,77.8%,35.1%,7.0%,-6.0,-7.3,-1.5,-1.0
2025 Monterrey F,W vs Alexandrova,3.4,3.8,3.1,53.7%,50.0%,68.4%,46.2%,51.7%,11.9%,8.0,6.2,6.0,5.5
2025 Bad Homburg R32,L vs Vekic,3.4,3.6,3.2,44.9%,30.8%,58.3%,33.3%,56.6%,16.1%,1.0,1.4,3.0,6.0
2025 Rome QF,L vs Paolini,4.3,4.1,4.7,52.5%,50.8%,38.7%,50.0%,42.5%,8.7%,18.0,11.9,4.5,2.3
2025 Indian Wells R32,L vs Bencic,4.0,4.6,3.3,42.5%,45.7%,75.0%,25.0%,52.4%,20.8%,11.0,10.2,-3.5,-4.4
2025 Indian Wells R64,W vs Parks,3.1,3.3,2.8,70.9%,51.7%,100.0%,50.0%,49.1%,23.6%,0.0,0.0,4.5,11.0
2025 Doha R64,L vs Parks,2.9,3.2,2.5,51.6%,36.6%,0.0%,100.0%,45.3%,24.0%,1.0,1.9,1.5,2.7
2025 Australian Open R32,L vs Vekic,3.5,3.9,3.2,46.3%,49.1%,65.2%,41.7%,46.7%,15.6%,23.5,16.5,7.0,4.9
2024 Hong Kong F,W vs Boulter,3.6,3.1,4.1,62.1%,63.0%,87.5%,50.0%,52.4%,20.0%,15.5,21.8,8.5,16.0
2024 Hong Kong SF,W vs Fernandez,4.1,5.0,3.1,55.4%,48.6%,53.8%,66.7%,42.8%,11.2%,16.5,22.3,5.0,5.6
2024 Hong Kong R32,W vs Okamura,3.4,3.4,3.5,55.9%,66.7%,25.0%,60.0%,55.7%,12.1%,16.5,21.4,5.0,8.6
2024 Tokyo SF,L vs Zheng,4.2,4.3,4.0,43.8%,56.8%,38.9%,33.3%,52.4%,14.0%,2.5,2.2,-1.5,-1.5
2024 Wuhan R64,L vs Fernandez,3.6,3.4,3.8,46.2%,50.9%,39.1%,63.6%,49.2%,15.4%,13.0,9.6,12.0,9.2
2024 US Open R16,L vs Pegula,3.9,4.1,3.7,46.5%,36.4%,71.4%,42.9%,60.1%,21.2%,15.0,12.4,-4.5,-6.7
Last 52 Weeks (10 matches),,4.0,4.0,3.9,48.7%,48.1%,53.6%,46.2%,49.1%,11.3%,7.6,6.3,2.4,2.1
Career (38 matches),,3.9,4.0,3.8,50.2%,49.0%,54.7%,50.9%,49.3%,12.1%,10.8,10.3,2.7,2.7
