Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Dubai R32,L vs Jovic,0.0%,-,4.7%,57.1%,12.7%,29.6%,18.8%,4.3%,10.0%,0.0%,-,23,11
2026 Dubai R64,W vs Joint,0.0%,-,11.3%,75.0%,24.0%,30.8%,37.5%,9.1%,33.3%,0.0%,-,92,94
2026 Australian Open R32,L vs Svitolina,0.0%,-,5.7%,25.0%,11.1%,29.2%,7.1%,7.5%,9.1%,1.2%,33.3%,39,39
2026 Australian Open R64,W vs Gibson,0.0%,-,3.1%,33.3%,21.0%,52.6%,21.1%,22.0%,41.7%,0.0%,-,-12,6
2026 Adelaide SF,L vs Andreeva,0.0%,-,16.8%,45.0%,9.3%,3.8%,12.5%,5.0%,15.0%,1.0%,0.0%,-32,-36
2025 Tokyo R16,L vs Kalinskaya,0.0%,-,10.8%,75.0%,16.1%,25.0%,6.3%,9.7%,19.2%,0.9%,75.0%,-31,-13
2025 Ningbo SF,L vs Alexandrova,0.0%,-,6.7%,44.4%,13.3%,13.3%,0.0%,9.1%,15.4%,0.8%,50.0%,48,63
2025 Monterrey F,W vs Alexandrova,0.0%,-,1.0%,50.0%,11.3%,17.4%,9.1%,9.4%,28.6%,0.0%,-,-32,-17
2025 Bad Homburg R32,L vs Vekic,0.0%,-,0.9%,0.0%,16.7%,21.4%,25.0%,17.9%,25.0%,3.5%,60.0%,-3,-9
2025 Rome QF,L vs Paolini,0.0%,-,3.9%,100.0%,26.7%,40.5%,33.3%,6.6%,25.0%,3.7%,28.6%,94,66
2025 Indian Wells R32,L vs Bencic,1.5%,0.0%,8.6%,63.6%,21.1%,21.9%,14.3%,5.1%,16.7%,0.9%,0.0%,82,52
2025 Indian Wells R64,W vs Parks,0.0%,-,5.6%,60.0%,8.1%,25.0%,0.0%,13.8%,33.3%,0.9%,0.0%,-12,12
2025 Doha R64,L vs Parks,0.0%,-,6.6%,66.7%,18.6%,30.8%,50.0%,11.6%,33.3%,1.5%,0.0%,-24,-43
2025 Australian Open R32,L vs Vekic,0.0%,-,5.4%,53.8%,25.6%,33.3%,28.6%,14.0%,25.0%,1.2%,50.0%,62,47
2024 Hong Kong F,W vs Boulter,0.0%,-,3.0%,100.0%,26.8%,56.3%,14.3%,18.2%,20.0%,0.7%,100.0%,11,33
2024 Hong Kong SF,W vs Fernandez,0.0%,-,4.5%,100.0%,32.1%,44.0%,0.0%,9.8%,41.7%,0.0%,-,-20,-26
2024 Hong Kong R32,W vs Okamura,0.0%,-,10.2%,63.6%,31.8%,35.7%,36.4%,8.6%,12.5%,1.3%,50.0%,159,115
2024 Tokyo SF,L vs Zheng,0.0%,-,5.6%,75.0%,11.5%,14.7%,0.0%,7.4%,6.3%,0.8%,100.0%,25,19
2024 Wuhan R64,L vs Fernandez,0.0%,-,5.0%,81.8%,21.4%,29.5%,0.0%,13.2%,43.8%,0.3%,100.0%,19,24
2024 US Open R16,L vs Pegula,0.0%,-,8.1%,72.7%,18.8%,34.8%,6.3%,5.9%,11.1%,0.5%,0.0%,27,18
Last 52 Weeks (10 matches),,0.0%,-,6.2%,58.8%,16.4%,27.3%,15.8%,8.8%,21.1%,1.2%,38.7%,16,18
Career (38 matches),,0.1%,0.0%,6.2%,68.2%,19.3%,27.4%,16.2%,9.1%,18.7%,1.1%,36.6%,27,22
