Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 W15 Madrid R32,L vs Rey Garcia,36% (4/11),75% (3/4),1/4,42% (5/12),0% (0/5),2/3,0/1,1/2,0/0,1/1
2019 W25 Santa Margarita de Montbui R16,L vs Kostova,0% (0/6),- (0/0),0/5,86% (6/7),0% (0/6),0/0,0/0,0/1,0/0,0/1
2019 W25 Monzon R16,L vs Ponchet,50% (5/10),60% (3/5),2/4,67% (6/9),17% (1/6),1/3,0/0,1/2,0/0,0/0
2019 W25 Monzon R32,W vs Kruger,67% (6/9),67% (4/6),1/1,44% (4/9),75% (3/4),4/4,2/2,0/0,1/1,0/0
2019 W25 Calvi R32,L vs Lechemia,50% (7/14),57% (4/7),3/5,50% (7/14),14% (1/7),2/4,1/1,1/2,0/0,1/1
2017 Benicarlo $15K R32,L vs Bouzo Zanotti,60% (6/10),67% (4/6),1/5,89% (8/9),25% (2/8),0/4,0/0,0/1,0/0,0/0
2017 Vinaros $15K R16,L vs Pella,29% (2/7),50% (1/2),1/5,86% (6/7),0% (0/6),0/1,0/0,0/1,0/0,0/0
2017 Vinaros $15K R32,W vs Romero Gormaz,63% (5/8),100% (5/5),0/1,13% (1/8),0% (0/1),2/3,0/0,0/0,0/0,0/0
2017 RibaRoja de Turia $15K R32,L vs Hoste Ferrer,59% (10/17),90% (9/10),4/9,59% (10/17),10% (1/10),3/7,0/2,2/2,0/0,2/2
2017 TeldeLP De Gran Canaria $15K R32,W vs Garcia,100% (7/7),100% (7/7),3/3,63% (5/8),40% (2/5),5/7,2/2,0/0,1/1,0/0
2017 Melilla $15K R16,L vs Luque Moreno,38% (5/13),100% (5/5),4/6,69% (9/13),22% (2/9),1/5,1/1,0/1,0/0,0/0
2017 Melilla $15K R32,W vs Iamachkine,89% (8/9),88% (7/8),4/4,44% (4/9),0% (0/4),3/5,0/1,0/0,0/0,0/0
2017 Las Palmas de Gran Canaria $15K R16,L vs Ostlund,25% (2/8),100% (2/2),2/6,88% (7/8),14% (1/7),0/2,0/0,1/1,0/0,1/1
2017 Las Palmas de Gran Canaria $15K R32,W vs Sauco Roque,100% (6/6),100% (6/6),0/0,17% (1/6),100% (1/1),4/4,0/0,0/0,0/0,0/0
2017 Las Palmas de Gran Canaria $15K QF,L vs Lister,13% (1/8),100% (1/1),1/4,56% (5/9),0% (0/5),1/1,0/0,1/2,0/0,0/1
2017 Las Palmas de Gran Canaria $15K R32,W vs Alexandre Da Rosa,75% (6/8),83% (5/6),2/2,67% (6/9),67% (4/6),4/5,2/2,0/0,1/1,0/0
2017 Focsani $15K R16,L vs Mateas,63% (5/8),20% (1/5),1/5,63% (5/8),0% (0/5),0/1,0/0,1/1,0/0,0/0
2017 Focsani $15K R32,W vs Kazionova,60% (6/10),100% (6/6),2/3,50% (5/10),40% (2/5),2/4,0/1,1/1,0/1,0/0
2017 Obidos $15K QF,L vs Parrizas Diaz,56% (5/9),40% (2/5),1/4,67% (6/9),17% (1/6),2/2,0/0,2/3,0/0,2/2
2017 Obidos $15K R16,W vs Ladurner,67% (6/9),100% (6/6),2/3,33% (3/9),0% (0/3),4/6,2/3,0/0,1/1,0/0
2019 (5 matches),,44.0%,63.6%,36.8%,54.9%,17.9%,64.3%,75.0%,42.9%,100.0%,66.7%
2017 (16 matches),,57.1%,84.1%,46.3%,57.4%,19.1%,55.6%,61.5%,68.8%,75.0%,83.3%
2016 (1 matches),,55.6%,80.0%,37.5%,88.9%,0.0%,25.0%,0.0%,-,-,-
2015 (3 matches),,52.4%,90.9%,15.4%,68.2%,6.7%,55.6%,100.0%,0.0%,100.0%,0.0%
Career (25 matches),,53.8%,81.0%,40.2%,59.1%,16.4%,55.6%,63.2%,58.3%,83.3%,70.0%
